"","Survived","Pclass","Sex","Age"
"665","1","2","male",0.83
"40","1","2","female",29
"203","0","3","female",29
"714","0","3","male",32
"499","1","1","male",80
"406","1","3","male",26
"72","0","1","male",46
"332","1","1","female",33
"444","1","1","female",39
"163","1","3","male",18
"518","0","2","male",24
"78","0","2","male",34
"339","0","3","male",29
"289","0","3","male",40
"107","0","2","male",25
"198","0","1","male",44
"34","1","2","female",3
"141","0","1","male",56
"502","0","3","female",9
"638","0","2","male",34
"262","1","1","female",36
"123","1","1","female",22
"160","0","3","male",28
"390","0","3","male",30
"334","1","2","female",34
"371","0","1","male",47
"316","1","1","female",23
"303","0","3","male",20
"104","0","3","male",20
"593","0","1","male",70
"379","0","3","female",22
"438","1","1","male",17
"153","0","2","male",19
"310","0","3","male",1
"30","0","3","female",18
"421","0","2","male",23
"694","0","1","male",31
"429","1","1","female",36
"644","0","1","male",39
"364","0","1","male",30
"389","0","1","male",58
"507","0","3","male",20
"202","0","2","male",54
"143","0","1","female",50
"491","1","1","male",42
"576","0","2","male",50
"173","1","1","female",31
"580","0","2","male",25
"136","0","3","male",28
"630","0","1","male",46
"177","0","2","male",30
"24","0","1","male",19
"285","0","3","male",25
"152","1","2","female",32
"464","1","1","female",18
"533","1","2","male",31
"481","1","2","female",22
"380","0","2","male",34
"388","1","1","female",35
"378","1","2","female",23
"39","1","1","female",49
"118","1","3","male",27
"295","1","1","female",24
"98","1","2","female",32.5
"643","0","3","male",31
"293","0","3","male",30
"25","0","1","male",40
"244","1","1","male",0.92
"242","1","1","female",50
"431","0","3","female",11
"151","0","3","male",36
"193","0","2","male",19
"664","1","3","female",15
"608","0","3","male",41
"706","0","3","male",33
"581","0","3","female",25
"383","1","3","female",2
"575","0","2","male",34
"377","1","2","female",33
"612","1","1","female",51
"676","0","3","male",42
"480","1","1","male",27
"462","0","2","male",54
"498","0","3","male",26
"627","1","3","female",18
"437","1","2","male",8
"394","0","1","male",71
"272","1","3","male",45
"38","0","3","male",21
"680","0","3","male",74
"48","0","1","male",45
"660","1","3","female",27
"298","0","3","male",19
"405","0","3","male",28
"417","1","1","female",44
"112","0","1","male",24
"210","1","2","female",50
"469","1","1","female",52
"667","0","3","male",18
"323","1","3","male",39
"207","1","3","female",29
"515","1","2","female",18
"322","1","2","female",28
"280","1","2","female",40
"585","0","2","male",23
"460","1","2","female",25
"115","0","3","male",19
"240","0","3","male",23.5
"4","1","1","female",35
"592","1","3","male",31
"635","1","3","female",31
"109","1","1","female",19
"226","0","3","male",65
"239","0","3","male",24
"695","1","3","male",4
"402","1","1","female",16
"520","0","2","male",23
"92","0","3","male",70.5
"350","0","3","female",21
"243","0","3","male",19
"629","1","3","male",1
"344","1","3","male",32
"194","0","2","male",33
"418","0","3","male",40.5
"369","1","1","male",48
"353","0","2","male",31
"699","0","3","male",47
"531","0","1","male",31
"519","0","3","female",32
"370","0","3","male",34
"596","0","1","male",19
"570","1","1","female",38
"622","1","3","female",13
"361","1","3","female",5
"357","1","2","female",28
"309","0","2","male",18
"558","0","3","female",18
"15","1","2","female",55
"586","0","3","male",28.5
"617","0","2","female",57
"12","0","3","male",20
"81","0","3","male",33
"572","0","3","male",33
"335","1","2","female",18
"712","1","1","female",19
"458","1","1","female",39
"450","0","3","female",29
"252","0","2","male",43
"33","0","2","female",27
"19","1","2","male",34
"561","0","2","male",39
"117","0","2","male",19
"351","1","2","female",24
"583","0","3","male",11
"594","0","3","male",16
"456","0","3","male",19
"624","0","1","male",29
"275","1","1","female",24
"556","1","1","female",18
"17","0","3","female",31
"611","0","3","male",16
"121","0","2","male",42
"1","0","3","male",22
"111","0","3","male",16
"524","0","1","male",47
"685","1","1","female",45
"178","1","3","male",16
"41","0","1","male",65
"528","0","2","male",25
"170","1","2","female",35
"628","0","3","male",8
"233","1","2","male",42
"368","1","2","female",50
"567","0","3","male",29
"448","0","3","male",24
"313","1","1","male",36
"675","0","3","male",17
"422","1","2","female",2
"246","0","2","male",30
"321","0","2","male",23
"248","1","1","female",24
"623","1","1","female",17
"399","0","3","male",17
"376","0","3","male",38
"366","1","3","male",29
"116","0","2","male",18
"705","1","2","female",25
"655","0","3","male",43
"199","0","3","female",25
"31","1","3","female",14
"6","0","1","male",54
"342","1","2","female",28
"645","0","3","female",18
"352","0","1","male",64
"88","0","3","male",22
"708","0","2","male",28
"425","1","2","female",7
"538","1","1","male",36
"183","1","2","male",19
"473","0","3","male",49
