"","Survived","Pclass","Sex","Age"
"98","1",2,0,32.5
"643","0",3,1,31
"293","0",3,1,30
"25","0",1,1,40
"244","1",1,1,0.92
"242","1",1,0,50
"431","0",3,0,11
"151","0",3,1,36
"193","0",2,1,19
"664","1",3,0,15
"608","0",3,1,41
"706","0",3,1,33
"581","0",3,0,25
"383","1",3,0,2
"575","0",2,1,34
"377","1",2,0,33
"612","1",1,0,51
"676","0",3,1,42
"480","1",1,1,27
"462","0",2,1,54
"498","0",3,1,26
"627","1",3,0,18
"437","1",2,1,8
"394","0",1,1,71
"272","1",3,1,45
"38","0",3,1,21
"680","0",3,1,74
"48","0",1,1,45
"660","1",3,0,27
"298","0",3,1,19
"405","0",3,1,28
"417","1",1,0,44
"112","0",1,1,24
"210","1",2,0,50
"469","1",1,0,52
"667","0",3,1,18
"323","1",3,1,39
"207","1",3,0,29
"515","1",2,0,18
"322","1",2,0,28
"280","1",2,0,40
"585","0",2,1,23
"460","1",2,0,25
"115","0",3,1,19
"240","0",3,1,23.5
"4","1",1,0,35
"592","1",3,1,31
"635","1",3,0,31
"109","1",1,0,19
"226","0",3,1,65
"239","0",3,1,24
"695","1",3,1,4
"402","1",1,0,16
"520","0",2,1,23
"92","0",3,1,70.5
"350","0",3,0,21
"243","0",3,1,19
"629","1",3,1,1
"344","1",3,1,32
"194","0",2,1,33
"418","0",3,1,40.5
"369","1",1,1,48
"353","0",2,1,31
"699","0",3,1,47
"531","0",1,1,31
"519","0",3,0,32
"370","0",3,1,34
"596","0",1,1,19
"570","1",1,0,38
"622","1",3,0,13
"361","1",3,0,5
"357","1",2,0,28
"309","0",2,1,18
"558","0",3,0,18
"15","1",2,0,55
"586","0",3,1,28.5
"617","0",2,0,57
"12","0",3,1,20
"81","0",3,1,33
"572","0",3,1,33
"335","1",2,0,18
"712","1",1,0,19
"458","1",1,0,39
"450","0",3,0,29
"252","0",2,1,43
"33","0",2,0,27
"19","1",2,1,34
"561","0",2,1,39
"117","0",2,1,19
"351","1",2,0,24
"583","0",3,1,11
"594","0",3,1,16
"456","0",3,1,19
"624","0",1,1,29
"275","1",1,0,24
"556","1",1,0,18
"17","0",3,0,31
"611","0",3,1,16
"121","0",2,1,42
"1","0",3,1,22
"111","0",3,1,16
"524","0",1,1,47
"685","1",1,0,45
"178","1",3,1,16
"41","0",1,1,65
"528","0",2,1,25
"170","1",2,0,35
"628","0",3,1,8
"233","1",2,1,42
"368","1",2,0,50
"567","0",3,1,29
"448","0",3,1,24
"313","1",1,1,36
"675","0",3,1,17
"422","1",2,0,2
"246","0",2,1,30
"321","0",2,1,23
"248","1",1,0,24
"623","1",1,0,17
"399","0",3,1,17
"376","0",3,1,38
"366","1",3,1,29
"116","0",2,1,18
"705","1",2,0,25
"655","0",3,1,43
"199","0",3,0,25
"31","1",3,0,14
"6","0",1,1,54
"342","1",2,0,28
"645","0",3,0,18
"352","0",1,1,64
"88","0",3,1,22
"708","0",2,1,28
"425","1",2,0,7
"538","1",1,1,36
"183","1",2,1,19
"473","0",3,1,49
