"","X","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"2769",2959,40,"Private",220609,10,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,0
"14993",15890,43,"Federal-gov",155106,13,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,53,0
"21323",22596,50,"Private",55527,12,"Divorced","Craft-repair","Not-in-family","Black","Male",0,0,45,0
"7577",8061,47,"Private",155659,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,0
"5605",5988,37,"Private",385452,6,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,0
"28091",29762,36,"Private",30509,10,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,45,0
"22518",23858,42,"State-gov",367292,10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,1
"26670",28259,28,"Private",336951,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,1
"7139",7593,45,"Private",51664,10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,0
"14324",15182,28,"Private",189257,5,"Never-married","Handlers-cleaners","Own-child","Black","Female",0,0,24,0
"11216",11918,30,"Private",147921,11,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,46,0
"9226",9804,17,"Private",52967,6,"Never-married","Other-service","Own-child","White","Female",0,0,6,0
"18727",19840,23,"Private",186813,9,"Never-married","Protective-serv","Own-child","Amer-Indian-Eskimo","Male",0,0,40,0
"22803",24162,51,"Self-emp-not-inc",208003,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,0
"14941",15835,25,"Private",250038,14,"Married-civ-spouse","Machine-op-inspct","Not-in-family","White","Male",0,0,40,0
"16917",17925,45,"Private",178341,14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,0
"6011",6406,40,"Private",247245,5,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,0
"29190",30927,56,"Private",107165,9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,18,0
"13972",14814,19,"Private",189574,9,"Never-married","Other-service","Not-in-family","White","Female",0,0,30,0
"11274",11977,30,"Private",129707,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,35,1
"13656",14477,45,"State-gov",213646,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,40,1
"21790",23086,27,"Private",133425,9,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,0
"22336",23665,56,"Private",204816,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,55,1
"12202",12950,39,"Self-emp-not-inc",34378,9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,0
"9620",10221,31,"Private",128591,5,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,0
"11256",11959,31,"Private",173002,9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,0
"28235",29915,33,"Private",547886,13,"Separated","Exec-managerial","Unmarried","Black","Female",0,0,40,0
"8051",8559,28,"Private",142712,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"5022",5375,55,"Private",157079,10,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,1
"4673",5004,28,"Private",161674,9,"Never-married","Machine-op-inspct","Unmarried","White","Female",0,0,40,0
"7845",8344,21,"Private",222490,10,"Never-married","Handlers-cleaners","Own-child","White","Female",0,0,40,0
"3350",3577,17,"Private",115551,7,"Never-married","Other-service","Own-child","White","Female",0,0,20,0
"9441",10030,33,"Private",174789,10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,0
"2353",2516,27,"Private",211570,7,"Never-married","Handlers-cleaners","Other-relative","Black","Male",0,0,40,0
"22550",23892,49,"Private",138370,14,"Married-spouse-absent","Protective-serv","Not-in-family","Asian-Pac-Islander","Male",0,0,40,0
"29255",30995,55,"Local-gov",110490,13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,60,0
"12543",13312,48,"Private",177211,7,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"17818",18876,37,"Self-emp-not-inc",298444,14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,0
"24293",25738,35,"Self-emp-not-inc",95455,13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,55,0
"11384",12092,20,"Private",216563,10,"Never-married","Other-service","Own-child","White","Female",0,0,20,0
"13626",14447,43,"Local-gov",198096,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",7688,0,40,1
"385",407,28,"Private",110145,9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,0
"22584",23929,50,"Private",151580,12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,0
"17173",18190,42,"Private",119359,15,"Married-civ-spouse","Sales","Wife","Amer-Indian-Eskimo","Female",15024,0,40,1
"27211",28826,47,"Federal-gov",197332,13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"29911",31694,46,"Private",175925,10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,0
"2720",2906,53,"Private",358056,7,"Divorced","Other-service","Unmarried","White","Female",0,0,40,0
"19772",20957,36,"Self-emp-not-inc",321274,13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,0
"9754",10360,32,"Private",183811,9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",2829,0,40,0
"7142",7596,22,"Private",333910,10,"Never-married","Tech-support","Not-in-family","White","Female",0,0,43,0
"14855",15746,53,"Self-emp-inc",42924,16,"Divorced","Exec-managerial","Not-in-family","White","Male",14084,0,50,1
"8889",9448,44,"Self-emp-not-inc",208277,9,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,45,0
"28588",30284,34,"Private",242984,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,45,1
"28339",30021,45,"Self-emp-inc",212954,10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,50,0
"10362",11007,37,"Private",312766,9,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,0
"23749",25165,20,"Private",47541,10,"Never-married","Sales","Own-child","White","Male",0,0,30,0
"4929",5272,20,"Private",203003,9,"Never-married","Transport-moving","Other-relative","White","Male",0,0,40,0
"746",797,61,"Private",128831,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"23398",24790,41,"Private",106627,12,"Divorced","Exec-managerial","Unmarried","Black","Female",0,0,50,0
"21948",23254,28,"Private",392487,9,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,0
"27861",29520,38,"Private",194304,10,"Divorced","Transport-moving","Not-in-family","Black","Male",0,0,55,0
"17384",18421,46,"Private",99385,13,"Separated","Exec-managerial","Unmarried","White","Female",0,0,40,0
"12869",13657,30,"Local-gov",101345,9,"Separated","Other-service","Unmarried","White","Female",0,0,26,0
"8476",9011,22,"Private",123876,10,"Never-married","Other-service","Own-child","White","Female",0,0,20,0
"19048",20182,60,"Local-gov",232618,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"21161",22429,46,"Private",155659,7,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1902,40,1
"6509",6930,24,"Private",104146,13,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Male",0,0,40,0
"19898",21085,59,"Local-gov",105866,13,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,30,0
"29931",31718,37,"Private",255621,9,"Separated","Craft-repair","Not-in-family","White","Male",0,0,50,0
"27028",28636,46,"Private",268358,7,"Separated","Machine-op-inspct","Not-in-family","White","Female",0,0,40,0
"13250",14048,71,"Private",162297,9,"Widowed","Sales","Unmarried","White","Female",0,0,20,0
"18485",19584,27,"Local-gov",162973,11,"Never-married","Protective-serv","Not-in-family","White","Male",0,0,56,0
"6980",7423,18,"Private",135924,9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,20,0
"6476",6895,27,"Private",386040,11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"181",191,38,"Private",155222,10,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,28,0
"7535",8015,40,"Private",173858,4,"Married-civ-spouse","Other-service","Husband","Asian-Pac-Islander","Male",0,0,42,0
"28926",30643,38,"Self-emp-not-inc",67317,13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,0
"13711",14533,27,"Private",29523,6,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,0
"25429",26938,35,"Private",268661,10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,0
"27531",29169,39,"Private",273362,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"11212",11914,37,"Private",167415,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,0
"1219",1301,29,"Federal-gov",301010,10,"Never-married","Armed-Forces","Not-in-family","Black","Male",0,0,60,0
"7689",8182,20,"Private",107801,12,"Never-married","Other-service","Own-child","White","Female",0,2205,18,0
"22748",24103,35,"Private",196899,13,"Never-married","Handlers-cleaners","Not-in-family","Asian-Pac-Islander","Female",0,0,50,0
"25865",27401,35,"Private",82622,9,"Never-married","Other-service","Own-child","White","Male",0,0,40,0
"16359",17335,37,"Private",239397,6,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"24983",26473,39,"Private",234901,12,"Separated","Adm-clerical","Unmarried","White","Male",0,0,40,0
"5748",6136,32,"Private",295117,13,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,40,1
"13842",14676,48,"Private",167009,10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,48,0
"17872",18934,32,"Private",257068,10,"Married-spouse-absent","Transport-moving","Not-in-family","White","Female",0,0,37,0
"29467",31223,30,"Private",297155,10,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,40,0
"2866",3061,21,"Private",98678,10,"Never-married","Other-service","Own-child","White","Male",0,0,15,0
"12355",13115,44,"Private",196545,13,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,40,1
"1861",1983,31,"Private",348491,13,"Never-married","Exec-managerial","Not-in-family","Black","Female",0,0,40,0
"29212",30951,45,"State-gov",154117,9,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,38,1
"12550",13319,27,"Private",169815,13,"Never-married","Sales","Own-child","White","Male",0,0,40,0
"334",354,46,"Local-gov",329752,7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,30,0
"9797",10404,28,"Private",150025,7,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,0
"28455",30142,62,"Federal-gov",224277,10,"Widowed","Protective-serv","Not-in-family","White","Female",0,0,40,0
"694",742,55,"Self-emp-not-inc",200939,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,72,0
"1855",1977,23,"Private",120172,13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,0
"19140",20281,36,"Private",47310,9,"Never-married","Other-service","Not-in-family","Black","Female",0,0,40,0
"8369",8895,43,"Private",37402,14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,25,0
"17573",18622,58,"Private",293399,7,"Widowed","Machine-op-inspct","Not-in-family","White","Female",0,0,40,0
"8751",9302,19,"Private",250639,10,"Never-married","Other-service","Own-child","White","Male",0,0,24,0
"17373",18409,47,"Self-emp-inc",181130,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,50,1
"15433",16355,35,"Private",209993,7,"Separated","Priv-house-serv","Unmarried","White","Female",0,0,8,0
"4354",4663,33,"Local-gov",147654,11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,0
"1039",1108,29,"Private",131088,9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,25,0
"1154",1233,27,"Private",175034,13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,0
"10797",11472,22,"Private",110946,10,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,0
"13155",13952,30,"Private",160634,11,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,1
"17135",18149,36,"Private",416745,12,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,48,0
"14251",15107,51,"Private",107123,4,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,40,0
"27274",28894,37,"Private",212465,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"3159",3374,40,"Private",346964,9,"Divorced","Tech-support","Unmarried","White","Female",0,0,40,0
"12133",12877,38,"Self-emp-inc",125324,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,80,1
"14988",15885,21,"Private",131620,9,"Married-spouse-absent","Machine-op-inspct","Own-child","White","Female",0,0,40,0
"12195",12943,24,"Private",216181,11,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,0
"11611",12332,36,"Private",102729,10,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,0
"7770",8267,46,"Private",328216,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,40,1
"16920",17928,34,"Self-emp-not-inc",226296,9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,51,0
"30176",31984,34,"Private",127195,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,0
"20979",22236,32,"Private",362259,13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,0
"13738",14565,59,"Private",69884,15,"Married-spouse-absent","Prof-specialty","Unmarried","White","Male",0,0,50,0
"21141",22408,45,"Private",229967,9,"Divorced","Exec-managerial","Not-in-family","White","Male",13550,0,50,1
"17087",18101,33,"Private",150154,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"16718",17710,39,"Private",76417,14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,1
"21966",23273,25,"Private",109419,9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,0
"11757",12487,59,"Private",530099,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,55,1
"10628",11291,39,"Self-emp-not-inc",29874,10,"Separated","Craft-repair","Not-in-family","White","Male",0,0,60,1
"14542",15410,62,"Private",210142,11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,1
"15677",16615,49,"Self-emp-not-inc",51620,16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,0
"6057",6455,40,"Private",104719,10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,0
"10038",10657,40,"Private",143069,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"28594",30290,24,"Private",154422,13,"Never-married","Exec-managerial","Own-child","Asian-Pac-Islander","Female",0,0,40,0
"15353",16272,31,"Private",184306,11,"Never-married","Transport-moving","Own-child","White","Male",0,1980,60,0
"5973",6368,25,"Private",137951,9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,30,0
"11",11,37,"Private",280464,10,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,80,1
"11138",11838,67,"Self-emp-not-inc",105907,2,"Widowed","Other-service","Not-in-family","Black","Female",0,0,20,0
"11017",11709,20,"Private",146879,9,"Never-married","Other-service","Not-in-family","White","Male",0,2001,40,0
"11105",11805,42,"Private",270721,13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,32,0
"15575",16506,46,"Private",147640,3,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,1902,40,0
"22747",24102,33,"Self-emp-not-inc",127894,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,1
"26257",27822,30,"Private",270889,10,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,1
"21675",22965,36,"Private",415578,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"12123",12867,50,"Private",231495,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"30074",31878,49,"Private",94342,13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,0
"26167",27728,41,"Private",37997,8,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,84,1
"3219",3436,50,"Private",93690,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,1
"1662",1775,49,"Private",169818,9,"Married-civ-spouse","Other-service","Wife","Black","Female",0,0,40,1
"13404",14210,62,"Private",244933,14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,45,0
"12310",13065,42,"Private",184837,9,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",7298,0,40,1
"1",1,39,"State-gov",77516,13,"Never-married","Adm-clerical","Not-in-family","White","Male",2174,0,40,0
"22628",23975,39,"Private",269455,9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,45,0
"15776",16717,55,"Self-emp-not-inc",248841,14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,1
"8262",8781,39,"Private",203763,16,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,80,0
"14690",15570,29,"Private",1268339,9,"Married-spouse-absent","Tech-support","Own-child","Black","Male",0,0,40,0
"5078",5433,44,"Private",83508,15,"Divorced","Prof-specialty","Not-in-family","White","Female",2354,0,99,0
"803",858,59,"Private",142182,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,1
"3657",3910,33,"Self-emp-inc",139057,9,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,84,1
"20913",22168,39,"Private",341741,1,"Never-married","Other-service","Not-in-family","White","Female",0,0,12,0
"15603",16537,33,"Private",236396,9,"Never-married","Adm-clerical","Own-child","White","Male",0,0,35,0
"19956",21148,39,"Private",348521,10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2415,99,1
"13516",14327,48,"Private",247895,13,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,40,1
"11815",12548,30,"Local-gov",235271,13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,1
"23790",25207,47,"State-gov",108890,9,"Divorced","Adm-clerical","Unmarried","White","Female",1831,0,38,0
"7695",8188,68,"Private",224338,11,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,40,0
"195",206,18,"Private",140164,7,"Never-married","Sales","Own-child","White","Female",0,0,40,0
"13307",14107,17,"Private",143331,6,"Never-married","Sales","Own-child","White","Male",0,0,15,0
"13480",14291,21,"Private",143582,13,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Female",0,0,45,0
"5828",6217,41,"Private",152292,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,1
"9781",10388,42,"Private",77373,10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,38,0
"26802",28401,25,"Self-emp-inc",161007,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,0
"27874",29534,25,"Private",215384,7,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,0
"21010",22268,47,"Private",160647,9,"Never-married","Farming-fishing","Unmarried","White","Female",0,0,46,0
"25750",27280,26,"Private",298225,9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,45,0
"11762",12494,35,"Private",31964,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,1
"16660",17651,28,"Private",51461,13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1887,40,1
"6258",6667,58,"Private",87329,7,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,48,0
"10526",11182,47,"Self-emp-not-inc",318593,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,25,0
"12136",12880,35,"Federal-gov",226916,13,"Widowed","Adm-clerical","Not-in-family","White","Male",0,0,40,1
"14551",15420,28,"Private",139903,13,"Never-married","Machine-op-inspct","Unmarried","Black","Female",0,0,40,0
"18682",19790,32,"Self-emp-not-inc",37232,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,45,1
"23446",24843,57,"Private",24384,4,"Widowed","Other-service","Not-in-family","White","Female",0,0,10,0
"14467",15334,19,"Private",225294,9,"Never-married","Other-service","Own-child","Black","Female",0,0,40,0
"1100",1173,25,"Private",404616,14,"Married-civ-spouse","Farming-fishing","Not-in-family","White","Male",0,0,99,1
"2667",2849,36,"Private",246449,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,1
"25696",27223,32,"Local-gov",113838,10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,99,0
"20681",21924,40,"Private",109969,7,"Divorced","Other-service","Other-relative","White","Female",0,0,20,0
"2575",2754,43,"Private",125461,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,65,1
"30514",32347,33,"Private",205950,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"3191",3408,52,"Private",117674,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"16765",17765,52,"Private",89534,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"14591",15462,57,"Local-gov",130532,13,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,35,0
"21343",22616,26,"Private",270151,13,"Never-married","Sales","Not-in-family","White","Female",0,0,40,0
"29278",31018,48,"Federal-gov",328606,9,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,0
"21744",23039,35,"Self-emp-not-inc",171968,9,"Separated","Transport-moving","Not-in-family","White","Male",0,0,70,0
"3480",3715,32,"Private",353994,13,"Married-civ-spouse","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,1
"20875",22128,45,"Private",175925,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"11254",11957,52,"Self-emp-not-inc",165278,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,22,0
"23969",25396,66,"Private",126511,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,0
"19863",21050,63,"Private",318763,10,"Divorced","Craft-repair","Unmarried","White","Male",0,0,22,0
"25782",27312,49,"Self-emp-not-inc",168191,4,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,70,0
"24598",26064,46,"Private",155654,9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,0
"12670",13444,41,"Private",253060,15,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,0
"27362",28990,46,"Private",58683,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,55,1
"21251",22522,50,"Private",145409,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,1
"30335",32157,38,"Private",59660,13,"Married-civ-spouse","Sales","Husband","White","Male",7298,0,40,1
"2141",2283,31,"Private",219509,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,1
"10221",10859,25,"Private",158662,9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,50,1
"7790",8287,39,"Self-emp-not-inc",326400,14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"27921",29581,27,"Private",178688,11,"Never-married","Craft-repair","Other-relative","White","Male",0,0,40,0
"13440",14248,54,"Local-gov",238257,13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,0
"2036",2174,51,"Private",270194,5,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,0
"7055",7502,51,"Self-emp-not-inc",32372,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1672,70,0
"2960",3162,21,"Private",275726,9,"Never-married","Craft-repair","Own-child","Black","Male",0,0,40,0
"3300",3523,45,"Self-emp-not-inc",204205,6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,65,0
"9486",10078,58,"Private",225603,5,"Divorced","Farming-fishing","Not-in-family","Black","Male",0,0,40,0
"7195",7650,44,"Private",205822,10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,1
"16086",17051,56,"Self-emp-not-inc",179594,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,48,0
"5821",6210,33,"Local-gov",292217,9,"Divorced","Protective-serv","Unmarried","White","Male",0,0,40,0
"10223",10861,38,"Private",107302,10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,1
"15401",16322,58,"Private",317479,9,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,40,0
"4763",5096,24,"State-gov",165201,10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,45,0
"18378",19471,43,"Private",52498,9,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,1
"14293",15150,35,"Local-gov",230754,14,"Never-married","Prof-specialty","Own-child","Black","Female",0,0,40,0
"11805",12537,35,"Private",45607,10,"Never-married","Other-service","Not-in-family","White","Male",0,0,40,0
"12983",13773,65,"Private",469602,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,15,0
"15313",16232,45,"Private",199058,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,48,0
"30057",31859,35,"Private",112264,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,0
"4885",5226,43,"Private",316183,4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"1446",1542,62,"Private",162245,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1628,70,0
"30485",32314,41,"Private",144460,10,"Divorced","Machine-op-inspct","Own-child","White","Male",0,0,40,0
"25298",26803,40,"Private",233130,4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
