"","X","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"25388",26895,61,"Private",162432,10,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,0
"20511",21740,59,"Private",244554,7,"Divorced","Other-service","Not-in-family","Black","Female",0,0,35,0
"24369",25821,45,"State-gov",130206,9,"Divorced","Adm-clerical","Other-relative","White","Female",0,0,40,0
"3312",3536,18,"Private",174732,9,"Never-married","Other-service","Other-relative","Black","Male",0,0,36,0
"22204",23526,41,"Private",215479,10,"Never-married","Transport-moving","Not-in-family","Black","Male",0,0,43,0
"12618",13392,54,"Private",185407,10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,0
"25185",26686,33,"State-gov",111994,10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,45,0
"19850",21036,25,"Private",221757,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"24018",25450,49,"Private",83610,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,66,1
"16965",17973,37,"Private",138441,9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,40,0
"16249",17219,41,"Private",149102,9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,0
"24212",25653,42,"Private",144995,1,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,25,0
"716",764,53,"Self-emp-inc",128272,16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,1
"14638",15514,39,"Federal-gov",382859,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"22461",23797,30,"Private",361742,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,0
"21246",22517,41,"Private",152958,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"14648",15525,43,"Private",142444,10,"Divorced","Sales","Unmarried","White","Female",0,0,55,1
"26411",27983,66,"Private",175558,4,"Widowed","Other-service","Not-in-family","White","Female",0,0,20,0
"13435",14243,34,"Private",101709,9,"Separated","Transport-moving","Not-in-family","Asian-Pac-Islander","Male",0,0,40,0
"7507",7984,50,"Private",192982,9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1848,40,1
"2168",2311,56,"Private",128764,4,"Widowed","Transport-moving","Not-in-family","White","Male",0,0,20,0
"3050",3258,31,"Private",207537,9,"Divorced","Craft-repair","Own-child","White","Male",0,1669,50,0
"9698",10302,27,"Private",157941,11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,0
"15902",16859,25,"Local-gov",77698,10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,0
"20298",21513,32,"Private",255424,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,1
"12474",13241,23,"Private",520775,8,"Never-married","Priv-house-serv","Own-child","White","Male",0,0,30,0
"27987",29651,46,"Private",197731,11,"Married-spouse-absent","Machine-op-inspct","Unmarried","White","Male",0,0,40,0
"9001",9569,73,"State-gov",74040,4,"Divorced","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,40,0
"14074",14921,37,"Private",99233,9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,0
"10190",10824,23,"Private",82497,10,"Never-married","Sales","Own-child","White","Female",0,0,28,0
"19952",21142,32,"Federal-gov",97614,10,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,0
"7909",8410,51,"Private",146767,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,1
"14669",15549,53,"Private",223696,8,"Married-spouse-absent","Handlers-cleaners","Not-in-family","Other","Male",0,0,56,0
"23489",24888,38,"Self-emp-inc",54953,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,38,0
"2583",2764,24,"Federal-gov",306515,9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,0
"26828",28428,41,"Self-emp-not-inc",117012,14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,55,0
"10392",11038,22,"Private",303822,6,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,0
"25727",27255,49,"Private",168211,9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,1
"10625",11288,24,"State-gov",247075,9,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,20,0
"10229",10867,44,"Self-emp-inc",104892,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,58,1
"14598",15470,56,"Private",33323,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"27340",28968,34,"Private",398988,13,"Never-married","Sales","Not-in-family","White","Male",0,0,40,0
"26486",28063,37,"Private",263094,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,40,1
"11950",12689,37,"Private",105813,11,"Married-civ-spouse","Adm-clerical","Husband","White","Male",7298,0,40,1
"23818",25238,32,"Private",97306,13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,48,0
"29433",31186,45,"Private",243631,16,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,45,1
"13318",14120,23,"Private",122346,9,"Never-married","Sales","Own-child","White","Male",0,0,40,0
"21830",23129,64,"Local-gov",198728,10,"Never-married","Transport-moving","Unmarried","White","Male",0,0,40,0
"12255",13006,44,"Private",116825,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,80,1
"9968",10587,20,"Private",366929,10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,35,0
"23193",24570,35,"Private",150042,9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,1
"6210",6616,39,"Private",182828,14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,45,0
"21784",23080,38,"Private",168322,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,60,0
"3728",3989,52,"Private",192390,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,1
"7520",7997,40,"Self-emp-not-inc",403550,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,0
"4390",4701,26,"Private",138152,8,"Never-married","Craft-repair","Other-relative","Other","Male",0,0,48,0
"7340",7805,40,"Private",197919,12,"Divorced","Sales","Unmarried","White","Female",0,0,40,0
"1805",1925,27,"Private",278581,13,"Never-married","Sales","Own-child","White","Female",0,0,40,0
"19671",20848,30,"Private",191777,10,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,0
"26836",28436,20,"Private",185452,9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,0
"23854",25277,34,"Self-emp-not-inc",120672,4,"Never-married","Handlers-cleaners","Unmarried","Black","Male",0,0,10,0
"24416",25872,64,"Self-emp-not-inc",253296,9,"Widowed","Other-service","Other-relative","White","Female",0,0,40,0
"13942",14784,36,"Self-emp-not-inc",151094,11,"Separated","Exec-managerial","Not-in-family","White","Male",0,0,48,0
"12558",13328,49,"Private",75673,9,"Never-married","Adm-clerical","Own-child","Asian-Pac-Islander","Female",0,0,40,0
"24829",26309,55,"Self-emp-not-inc",170350,9,"Divorced","Other-service","Other-relative","White","Female",0,0,40,0
"18523",19624,43,"Private",124436,10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,1
"20047",21245,52,"Local-gov",100226,13,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,1
"10814",11491,27,"Private",218184,10,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,0
"8275",8797,39,"Private",70995,13,"Married-civ-spouse","Transport-moving","Husband","White","Male",15024,0,99,1
"30392",32217,45,"Private",265097,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,1902,40,1
"19394",20550,35,"Private",81280,13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,65,1
"6527",6950,33,"Private",111363,13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,0
"3961",4242,34,"Private",456399,12,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"14636",15512,18,"Private",447882,10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,20,0
"28286",29967,22,"Private",325179,10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,50,0
"18328",19416,25,"Private",185287,10,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,0
"29879",31659,17,"Private",309504,6,"Never-married","Sales","Unmarried","White","Female",0,0,24,0
"22398",23729,44,"Private",152150,12,"Separated","Exec-managerial","Not-in-family","White","Male",0,0,40,0
"10918",11605,46,"Private",358533,10,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,40,1
"13206",14003,28,"Self-emp-not-inc",176027,9,"Never-married","Other-service","Not-in-family","White","Female",0,0,28,0
"4536",4860,18,"Self-emp-not-inc",40293,9,"Never-married","Farming-fishing","Other-relative","White","Male",0,0,40,0
"401",424,29,"Private",188401,9,"Divorced","Farming-fishing","Not-in-family","White","Male",0,0,40,0
"21898",23200,20,"Private",243010,9,"Never-married","Machine-op-inspct","Other-relative","Other","Male",0,0,32,0
"3158",3373,21,"Private",34506,9,"Separated","Other-service","Own-child","White","Female",0,0,35,0
"13657",14478,31,"Local-gov",194141,9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,48,0
"19587",20754,44,"Self-emp-not-inc",138975,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,0
"30349",32171,41,"Private",151736,6,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,0
"15164",16068,60,"Private",184242,9,"Married-spouse-absent","Other-service","Unmarried","White","Female",0,0,20,0
"14820",15710,44,"Self-emp-not-inc",104196,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,84,0
"5307",5675,40,"Private",208277,10,"Divorced","Adm-clerical","Own-child","White","Female",0,0,44,1
"23093",24466,42,"Private",187720,14,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,50,1
"13887",14725,31,"Private",393357,5,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,48,0
"15638",16573,45,"State-gov",36032,9,"Divorced","Protective-serv","Unmarried","Black","Female",0,0,40,0
"6350",6763,63,"Private",273010,9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",3471,0,40,0
"6995",7439,36,"Private",83089,3,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",7298,0,40,1
"18223",19306,37,"Local-gov",239161,10,"Separated","Protective-serv","Own-child","Other","Male",0,0,52,0
"17585",18635,45,"Private",183092,12,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,0
"2358",2521,36,"Self-emp-not-inc",233533,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,1
"1088",1160,20,"Private",275691,9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,28,0
"19660",20837,39,"Private",121590,10,"Never-married","Prof-specialty","Not-in-family","Black","Male",4787,0,40,1
"28401",30087,26,"Private",340335,13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,0
"18292",19380,45,"Private",194772,10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,55,0
"17154",18170,41,"State-gov",176663,9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,0
"16087",17052,61,"Self-emp-inc",139391,10,"Married-civ-spouse","Sales","Husband","White","Male",0,1902,35,1
"30125",31933,47,"Self-emp-not-inc",330416,10,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,60,0
"15524",16451,49,"Private",125421,9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,0
"20879",22133,30,"Federal-gov",266463,9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,1
"18394",19487,47,"Private",205730,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,56,1
"7304",7766,23,"Private",230824,13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"7894",8395,41,"Self-emp-not-inc",83411,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"22298",23626,34,"Self-emp-not-inc",203488,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,0
"13837",14670,31,"Private",182539,10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,45,0
"5354",5725,21,"Private",286824,10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,12,0
"22828",24188,38,"Private",160035,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,0
"3210",3427,39,"Local-gov",357173,12,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,59,0
"26429",28002,46,"Private",90042,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"18789",19906,41,"Private",282964,10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,0
"17031",18043,38,"Private",32528,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"10050",10669,44,"State-gov",150755,13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",5013,0,40,0
"13850",14684,50,"Federal-gov",96657,13,"Divorced","Prof-specialty","Unmarried","Black","Female",0,0,40,0
"15296",16214,25,"Private",194897,9,"Never-married","Sales","Own-child","Amer-Indian-Eskimo","Male",6849,0,40,0
"5528",5906,60,"Self-emp-not-inc",88055,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,24,0
"16187",17155,41,"Private",204662,14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,1
"2301",2457,60,"Self-emp-not-inc",224377,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,0
"8489",9024,30,"Private",203488,10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,1
"6500",6921,43,"State-gov",134782,12,"Married-spouse-absent","Other-service","Unmarried","White","Female",0,0,30,0
"8703",9253,41,"Private",289886,3,"Married-civ-spouse","Other-service","Husband","Other","Male",0,1579,40,0
"27352",28980,49,"Self-emp-inc",306289,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"13636",14457,23,"Private",208946,10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,32,0
"23833",25254,39,"Private",115289,10,"Divorced","Sales","Own-child","White","Male",0,1380,70,0
"26907",28510,34,"Private",258666,11,"Never-married","Tech-support","Not-in-family","White","Female",0,1974,40,0
"12623",13397,31,"Private",209538,6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"1950",2078,25,"Self-emp-not-inc",305449,10,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,40,0
"10250",10889,25,"Private",483822,9,"Never-married","Other-service","Own-child","White","Male",0,0,40,0
"22110",23431,43,"Self-emp-inc",83348,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,0
"10314",10955,68,"Local-gov",177596,6,"Separated","Other-service","Not-in-family","Black","Female",0,0,90,0
"19258",20407,23,"Private",199336,11,"Never-married","Craft-repair","Unmarried","White","Male",0,0,50,0
"25679",27206,60,"Federal-gov",67320,9,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,0
"26152",27712,55,"State-gov",294395,11,"Widowed","Prof-specialty","Unmarried","White","Female",6849,0,40,0
"11955",12694,51,"State-gov",155594,10,"Married-civ-spouse","Sales","Husband","White","Male",0,1887,40,1
"11622",12344,42,"Private",155469,12,"Widowed","Tech-support","Unmarried","White","Female",0,0,24,0
"27350",28978,29,"Private",122127,13,"Never-married","Prof-specialty","Not-in-family","White","Female",8614,0,40,1
"19679",20856,22,"Private",190968,10,"Married-civ-spouse","Craft-repair","Husband","White","Male",2407,0,40,0
"22634",23982,60,"State-gov",313946,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"18486",19585,64,"Self-emp-not-inc",192695,3,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,70,0
"27580",29220,25,"Private",129784,10,"Never-married","Other-service","Own-child","White","Female",0,0,40,0
"8970",9535,41,"Private",195661,10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,54,0
"5841",6230,36,"Private",190350,9,"Never-married","Adm-clerical","Not-in-family","Black","Female",0,0,40,0
"27069",28677,27,"Self-emp-not-inc",151402,9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,1573,70,0
"15370",16289,34,"Local-gov",105540,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2051,40,0
"26781",28377,49,"Private",208978,9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,16,0
"5777",6165,31,"Private",87054,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,0
"23147",24522,59,"Private",515712,4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"22120",23441,22,"Private",341610,10,"Never-married","Sales","Not-in-family","White","Male",0,0,35,0
"28812",30521,21,"Private",502837,9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,40,0
"16720",17713,39,"Private",201410,9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,0
"21729",23024,24,"Private",117779,13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,10,0
"11873",12608,17,"Private",285169,7,"Never-married","Priv-house-serv","Own-child","White","Female",0,0,40,0
"3080",3289,32,"State-gov",159537,12,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"28306",29988,49,"Private",163229,9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,0
"8646",9192,40,"Private",276096,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"18027",19099,42,"Private",177989,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"3369",3601,53,"Private",209022,7,"Divorced","Other-service","Not-in-family","White","Female",0,0,37,0
"25654",27179,34,"Private",226883,9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,0
"9705",10309,25,"Private",113436,10,"Never-married","Adm-clerical","Own-child","White","Male",0,0,15,0
"23892",25317,40,"Private",321856,9,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,60,1
"8164",8677,27,"Private",199903,13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,0
"6673",7104,32,"Private",152940,10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,1
"15771",16712,18,"Private",151866,10,"Never-married","Sales","Not-in-family","White","Female",0,0,20,0
"8208",8723,26,"Private",202033,13,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,1
"5529",5907,48,"Private",186203,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,50,0
"15824",16773,39,"Private",108069,10,"Never-married","Craft-repair","Unmarried","White","Female",0,0,40,0
"17172",18189,32,"Self-emp-inc",45796,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,0
"3941",4221,25,"Private",171114,9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,48,0
"7822",8320,50,"Private",22418,5,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,50,0
"21904",23206,29,"State-gov",240738,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,1
"29331",31078,46,"Self-emp-not-inc",119944,14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,1
"3055",3263,38,"Self-emp-not-inc",190023,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,1
"23283",24664,57,"Private",78707,9,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,0
"28918",30634,18,"Private",138557,7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,0
"24972",26462,27,"Private",300783,10,"Married-civ-spouse","Sales","Wife","White","Female",0,0,42,1
"9404",9990,35,"Private",186489,5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,46,0
"19814",21000,59,"Private",291529,6,"Widowed","Machine-op-inspct","Not-in-family","White","Male",0,0,52,0
"29079",30812,57,"Federal-gov",197875,9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,0
"29089",30822,41,"Private",192779,4,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"10370",11015,32,"Local-gov",42596,13,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"8005",8511,44,"Self-emp-not-inc",103111,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,1
"5046",5401,50,"Self-emp-inc",127315,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,60,1
"9825",10434,27,"Private",207611,9,"Never-married","Other-service","Not-in-family","White","Female",0,0,52,0
"15557",16486,38,"State-gov",312528,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,37,0
"28176",29854,51,"Private",241745,3,"Separated","Machine-op-inspct","Unmarried","White","Female",0,0,40,0
"15581",16512,22,"Self-emp-not-inc",357612,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,0
"7856",8355,35,"Private",100375,6,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,0
"1417",1513,37,"Self-emp-inc",217054,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,35,1
"12741",13520,49,"Private",151107,9,"Never-married","Craft-repair","Not-in-family","Black","Male",0,0,40,0
"26038",27588,55,"Self-emp-not-inc",26683,9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,0
"10587",11248,22,"Private",152878,9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,0
"4008",4291,49,"Self-emp-not-inc",200471,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"11417",12127,22,"Private",60783,6,"Never-married","Craft-repair","Own-child","White","Male",0,0,15,0
"19249",20396,36,"Private",248708,12,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,0
"11892",12629,27,"Private",126730,9,"Never-married","Sales","Not-in-family","White","Female",0,0,40,0
"21022",22280,40,"Self-emp-inc",193524,10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,1
"21015",22273,33,"Private",154981,13,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,1902,50,1
"16914",17922,37,"Private",151835,15,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,1
"13095",13890,33,"Private",155475,9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,0
"13799",14631,25,"Private",160300,13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,35,0
"9340",9922,44,"Private",85604,9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,1
"17627",18678,33,"Private",160216,14,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,32,0
"27745",29397,22,"Private",189277,9,"Never-married","Machine-op-inspct","Unmarried","Black","Female",0,0,40,0
"4346",4654,30,"Private",155343,9,"Married-civ-spouse","Craft-repair","Husband","White","Male",5013,0,40,0
"12649",13423,53,"Private",366957,13,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",99999,0,50,1
"6428",6844,45,"Private",189564,13,"Married-civ-spouse","Sales","Wife","White","Female",0,0,42,1
"13065",13859,37,"Private",51264,16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,99,1
"4044",4330,63,"Private",149756,12,"Divorced","Exec-managerial","Not-in-family","White","Male",0,0,40,1
"14020",14864,38,"Private",194538,11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,48,1
"28731",30435,35,"Federal-gov",128608,13,"Never-married","Exec-managerial","Own-child","White","Male",0,0,40,0
"23216",24595,30,"Private",251120,4,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,38,0
"28423",30110,48,"Private",349986,11,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Male",0,0,40,0
"14340",15199,32,"Private",207113,6,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,0
"18389",19482,23,"Private",184271,13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,36,0
"14775",15662,52,"Private",191529,13,"Divorced","Farming-fishing","Not-in-family","White","Male",0,0,40,0
"3315",3539,36,"Self-emp-inc",213008,12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"7547",8028,45,"Private",59380,13,"Separated","Exec-managerial","Not-in-family","White","Female",0,0,55,0
