"","Survived","Pclass","Sex","Age"
"150",0,3,"male",40
"151",0,3,"male",36
"152",1,2,"female",32
"153",0,2,"male",19
"154",1,3,"female",19
"155",1,2,"male",3
"156",1,1,"female",44
"157",1,1,"female",58
"158",0,3,"male",42
"159",0,2,"female",24
"160",0,3,"male",28
"161",0,3,"male",34
"162",0,3,"male",45.5
"163",1,3,"male",18
"164",0,3,"female",2
"165",0,3,"male",32
"166",1,3,"male",26
"167",1,3,"female",16
"168",1,1,"male",40
"169",0,3,"male",24
"170",1,2,"female",35
"171",0,3,"male",22
"172",0,2,"male",30
"173",1,1,"female",31
"174",1,3,"female",27
"175",0,2,"male",42
"176",1,1,"female",32
"177",0,2,"male",30
"178",1,3,"male",16
"179",0,2,"male",27
"180",0,3,"male",51
"181",1,1,"male",38
"182",0,3,"male",22
"183",1,2,"male",19
"184",0,3,"male",20.5
"185",0,2,"male",18
"186",1,1,"female",35
"187",0,3,"male",29
"188",0,2,"male",59
"189",1,3,"female",5
"190",0,2,"male",24
"191",0,2,"male",44
"192",1,2,"female",8
"193",0,2,"male",19
"194",0,2,"male",33
"195",0,2,"male",29
"196",0,3,"male",22
"197",0,3,"male",30
"198",0,1,"male",44
"199",0,3,"female",25
"200",1,2,"female",24
"201",1,1,"male",37
"202",0,2,"male",54
"203",0,3,"female",29
"204",0,1,"male",62
"205",0,3,"male",30
"206",0,3,"female",41
"207",1,3,"female",29
"208",1,1,"female",30
"209",1,1,"female",35
"210",1,2,"female",50
"211",1,3,"male",3
"212",0,1,"male",52
"213",0,1,"male",40
"214",0,2,"male",36
"215",0,3,"male",16
"216",1,3,"male",25
"217",1,1,"female",58
"218",1,1,"female",35
"219",1,3,"male",25
"220",1,2,"female",41
"221",0,1,"male",37
"222",1,1,"female",63
"223",0,3,"female",45
"224",0,3,"male",7
"225",1,3,"female",35
"226",0,3,"male",65
"227",0,3,"male",28
"228",0,3,"male",16
"229",1,3,"male",19
"230",0,3,"male",33
"231",1,3,"male",30
"232",0,3,"male",22
"233",1,2,"male",42
"234",1,3,"female",22
"235",1,1,"female",26
"236",1,1,"female",19
"237",0,2,"male",36
"238",0,3,"female",24
"239",0,3,"male",24
"240",0,3,"male",23.5
"241",0,1,"female",2
"242",1,1,"female",50
"243",0,3,"male",19
"244",1,1,"male",0.92
"245",1,1,"female",17
"246",0,2,"male",30
"247",1,1,"female",30
"248",1,1,"female",24
"249",1,1,"female",18
"250",0,2,"female",26
"251",0,3,"male",28
"252",0,2,"male",43
"253",1,3,"female",26
"254",1,2,"female",24
"255",0,2,"male",54
"256",1,1,"female",31
"257",1,1,"female",40
"258",0,3,"male",22
"259",0,3,"male",27
"260",1,2,"female",30
"261",1,2,"female",22
"262",1,1,"female",36
"263",0,3,"male",61
"264",1,2,"female",36
"265",1,3,"female",31
"266",1,1,"female",16
"267",0,1,"male",45.5
"268",0,1,"male",38
"269",0,3,"male",16
"270",0,1,"male",29
"271",1,1,"female",41
"272",1,3,"male",45
"273",0,1,"male",45
"274",1,2,"male",2
"275",1,1,"female",24
"276",0,2,"male",28
"277",0,2,"male",25
"278",0,2,"male",36
"279",1,2,"female",24
"280",1,2,"female",40
"281",1,3,"male",3
"282",0,3,"male",42
"283",0,3,"male",23
"284",0,3,"male",15
"285",0,3,"male",25
"286",0,3,"male",28
"287",1,1,"female",22
"288",0,2,"female",38
"289",0,3,"male",40
"290",0,2,"male",29
"291",0,3,"female",45
"292",0,3,"male",35
"293",0,3,"male",30
"294",1,1,"female",60
"295",1,1,"female",24
"296",1,1,"male",25
"297",0,3,"male",18
"298",0,3,"male",19
"299",0,1,"male",22
"300",0,3,"female",3
"301",1,3,"female",22
"302",0,1,"male",27
"303",0,3,"male",20
"304",0,3,"male",19
"305",1,1,"female",42
"306",1,3,"female",1
"307",0,3,"male",32
"308",1,1,"female",35
"309",0,2,"male",18
"310",0,3,"male",1
"311",1,2,"female",36
"312",1,2,"female",17
"313",1,1,"male",36
"314",1,3,"male",21
"315",0,3,"male",28
"316",1,1,"female",23
"317",1,3,"female",24
"318",0,3,"male",22
"319",0,3,"female",31
"320",0,2,"male",46
"321",0,2,"male",23
"322",1,2,"female",28
"323",1,3,"male",39
"324",0,3,"male",26
"325",0,3,"female",21
"326",0,3,"male",28
"327",0,3,"female",20
"328",0,2,"male",34
"329",0,3,"male",51
"330",1,2,"male",3
"331",0,3,"male",21
"332",1,1,"female",33
"333",1,3,"male",44
"334",1,2,"female",34
"335",1,2,"female",18
"336",0,2,"male",30
"337",0,3,"female",10
"338",0,3,"male",21
"339",0,3,"male",29
"340",0,3,"female",28
"341",0,3,"male",18
"342",1,2,"female",28
"343",1,2,"female",19
"344",1,3,"male",32
"345",1,1,"male",28
"346",1,2,"female",42
"347",0,3,"male",17
"348",0,1,"male",50
"349",1,1,"female",14
"350",0,3,"female",21
"351",1,2,"female",24
"352",0,1,"male",64
"353",0,2,"male",31
"354",1,2,"female",45
"355",0,3,"male",20
"356",0,3,"male",25
"357",1,2,"female",28
"358",1,1,"male",4
"359",1,2,"female",13
"360",1,1,"male",34
"361",1,3,"female",5
"362",1,1,"male",52
"363",0,2,"male",36
"364",0,1,"male",30
"365",1,1,"male",49
"366",1,3,"male",29
"367",0,1,"male",65
"368",1,2,"female",50
"369",1,1,"male",48
"370",0,3,"male",34
"371",0,1,"male",47
"372",0,2,"male",48
"373",0,3,"male",38
"374",0,1,"male",56
"375",1,3,"female",0.75
"376",0,3,"male",38
"377",1,2,"female",33
"378",1,2,"female",23
"379",0,3,"female",22
"380",0,2,"male",34
"381",0,3,"male",29
"382",0,3,"male",22
"383",1,3,"female",2
"384",0,3,"male",9
"385",0,3,"male",50
"386",1,3,"female",63
"387",1,1,"male",25
"388",1,1,"female",35
"389",0,1,"male",58
"390",0,3,"male",30
"391",1,3,"male",9
"392",0,3,"male",21
"393",0,1,"male",55
"394",0,1,"male",71
"395",0,3,"male",21
"396",1,1,"female",54
"397",0,1,"female",25
"398",0,3,"male",24
"399",0,3,"male",17
"400",0,3,"female",21
"401",0,3,"female",37
"402",1,1,"female",16
"403",0,1,"male",18
"404",1,2,"female",33
"405",0,3,"male",28
"406",1,3,"male",26
"407",1,3,"male",29
"408",1,1,"male",36
"409",1,1,"female",54
"410",0,3,"male",24
"411",0,1,"male",47
"412",1,2,"female",34
"413",1,2,"female",36
"414",0,3,"male",32
"415",1,1,"female",30
"416",0,3,"male",22
"417",1,1,"female",44
"418",0,3,"male",40.5
"419",1,2,"female",50
"420",0,3,"male",39
"421",0,2,"male",23
"422",1,2,"female",2
"423",0,3,"male",17
"424",0,3,"female",30
"425",1,2,"female",7
"426",0,1,"male",45
"427",1,1,"female",30
"428",1,1,"female",22
"429",1,1,"female",36
"430",0,3,"female",9
"431",0,3,"female",11
"432",1,2,"male",32
"433",0,1,"male",50
"434",0,1,"male",64
"435",1,2,"female",19
"436",0,3,"male",33
"437",1,2,"male",8
"438",1,1,"male",17
"439",0,2,"male",27
"440",1,3,"male",22
"441",1,3,"female",22
"442",0,1,"male",62
"443",1,1,"female",48
"444",1,1,"female",39
"445",1,3,"female",36
"446",0,3,"male",40
"447",0,2,"male",28
"448",0,3,"male",24
"449",0,3,"male",19
"450",0,3,"female",29
"451",1,3,"male",32
"452",1,2,"male",62
"453",1,1,"female",53
"454",1,1,"male",36
"455",0,3,"male",16
"456",0,3,"male",19
"457",1,2,"female",34
"458",1,1,"female",39
"459",1,3,"male",32
"460",1,2,"female",25
"461",1,1,"female",39
"462",0,2,"male",54
"463",0,1,"male",36
"464",1,1,"female",18
"465",0,2,"male",47
"466",1,1,"male",60
"467",0,3,"male",22
"468",0,3,"male",35
"469",1,1,"female",52
"470",0,3,"male",47
"471",0,2,"male",37
"472",0,3,"male",36
"473",0,3,"male",49
"474",1,1,"male",49
"475",1,2,"female",24
"476",0,3,"male",44
"477",1,1,"male",35
"478",0,3,"male",36
"479",0,3,"male",30
"480",1,1,"male",27
"481",1,2,"female",22
"482",1,1,"female",40
"483",0,3,"female",39
"484",0,3,"male",35
"485",1,2,"female",24
"486",0,3,"male",34
"487",0,3,"female",26
"488",1,2,"female",4
"489",0,2,"male",26
"490",0,3,"male",27
"491",1,1,"male",42
"492",1,3,"male",20
"493",0,3,"male",21
"494",0,3,"male",21
"495",0,1,"male",61
"496",0,2,"male",57
"497",1,1,"female",21
"498",0,3,"male",26
"499",1,1,"male",80
"500",0,3,"male",51
"501",1,1,"male",32
"502",0,3,"female",9
"503",1,2,"female",28
"504",0,3,"male",32
"505",0,2,"male",31
"506",0,3,"female",41
"507",0,3,"male",20
"508",1,1,"female",24
"509",0,3,"female",2
"510",1,3,"female",0.75
"511",1,1,"male",48
"512",0,3,"male",19
"513",1,1,"male",56
"514",1,3,"female",23
"515",1,2,"female",18
"516",0,3,"male",21
"517",0,3,"female",18
"518",0,2,"male",24
"519",0,3,"female",32
"520",0,2,"male",23
"521",0,1,"male",58
"522",1,1,"male",50
"523",0,3,"male",40
"524",0,1,"male",47
"525",0,3,"male",36
"526",1,3,"male",20
"527",0,2,"male",32
"528",0,2,"male",25
"529",0,3,"male",43
"530",1,2,"female",40
"531",0,1,"male",31
"532",0,2,"male",70
"533",1,2,"male",31
"534",0,3,"male",18
"535",0,3,"male",24.5
"536",1,3,"female",18
"537",0,3,"female",43
"538",1,1,"male",36
"539",1,1,"male",27
"540",0,3,"male",20
"541",0,3,"male",14
"542",0,2,"male",60
"543",0,2,"male",25
"544",0,3,"male",14
"545",0,3,"male",19
"546",0,3,"male",18
"547",1,1,"female",15
"548",1,1,"male",31
"549",1,3,"female",4
"550",0,3,"male",25
"551",0,1,"male",60
"552",0,2,"male",52
"553",0,3,"male",44
"554",0,1,"male",49
"555",0,3,"male",42
"556",1,1,"female",18
"557",1,1,"male",35
"558",0,3,"female",18
"559",0,3,"male",25
"560",0,3,"male",26
"561",0,2,"male",39
"562",1,2,"female",45
"563",1,1,"male",42
"564",1,1,"female",22
"565",1,1,"female",24
"566",1,1,"male",48
"567",0,3,"male",29
"568",0,2,"male",52
"569",0,3,"male",19
"570",1,1,"female",38
"571",1,2,"female",27
"572",0,3,"male",33
"573",1,2,"female",6
"574",0,3,"male",17
"575",0,2,"male",34
"576",0,2,"male",50
"577",1,1,"male",27
"578",0,3,"male",20
"579",1,2,"female",30
"580",0,2,"male",25
"581",0,3,"female",25
"582",1,1,"female",29
"583",0,3,"male",11
"584",0,2,"male",23
"585",0,2,"male",23
"586",0,3,"male",28.5
"587",0,3,"female",48
"588",1,1,"male",35
"589",0,1,"male",36
"590",1,1,"female",21
"591",0,3,"male",24
"592",1,3,"male",31
"593",0,1,"male",70
"594",0,3,"male",16
"595",1,2,"female",30
"596",0,1,"male",19
"597",0,3,"male",31
"598",1,2,"female",4
"599",1,3,"male",6
"600",0,3,"male",33
"601",0,3,"male",23
"602",1,2,"female",48
"603",1,2,"male",0.67
"604",0,3,"male",28
"605",0,2,"male",18
"606",0,3,"male",34
"607",1,1,"female",33
"608",0,3,"male",41
"609",1,3,"male",20
"610",1,1,"female",36
"611",0,3,"male",16
"612",1,1,"female",51
"613",0,3,"female",30.5
"614",0,3,"male",32
"615",0,3,"male",24
"616",0,3,"male",48
"617",0,2,"female",57
"618",1,2,"female",54
"619",0,3,"male",18
"620",1,3,"female",5
"621",1,1,"female",43
"622",1,3,"female",13
"623",1,1,"female",17
"624",0,1,"male",29
"625",0,3,"male",25
"626",0,3,"male",25
"627",1,3,"female",18
"628",0,3,"male",8
"629",1,3,"male",1
"630",0,1,"male",46
"631",0,2,"male",16
"632",0,3,"male",25
"633",0,2,"male",39
"634",1,1,"female",49
"635",1,3,"female",31
"636",0,3,"male",30
"637",0,3,"female",30
"638",0,2,"male",34
"639",1,2,"female",31
"640",1,1,"male",11
"641",1,3,"male",0.42
"642",1,3,"male",27
"643",0,3,"male",31
"644",0,1,"male",39
"645",0,3,"female",18
"646",0,2,"male",39
"647",1,1,"female",33
"648",0,3,"male",26
"649",0,3,"male",39
"650",0,2,"male",35
"651",0,3,"female",6
"652",0,3,"male",30.5
"653",0,3,"female",23
"654",0,2,"male",31
"655",0,3,"male",43
"656",0,3,"male",10
"657",1,1,"female",52
"658",1,3,"male",27
"659",0,1,"male",38
"660",1,3,"female",27
"661",0,3,"male",2
"662",1,2,"male",1
"663",1,1,"female",62
"664",1,3,"female",15
"665",1,2,"male",0.83
"666",0,3,"male",23
"667",0,3,"male",18
"668",1,1,"female",39
"669",0,3,"male",21
"670",1,3,"male",32
"671",0,3,"male",20
"672",0,2,"male",16
"673",1,1,"female",30
"674",0,3,"male",34.5
"675",0,3,"male",17
"676",0,3,"male",42
"677",0,3,"male",35
"678",0,2,"male",28
"679",0,3,"male",4
"680",0,3,"male",74
"681",0,3,"female",9
"682",1,1,"female",16
"683",0,2,"female",44
"684",1,3,"female",18
"685",1,1,"female",45
"686",1,1,"male",51
"687",1,3,"female",24
"688",0,3,"male",41
"689",0,2,"male",21
"690",1,1,"female",48
"691",0,2,"male",24
"692",1,2,"female",42
"693",1,2,"female",27
"694",0,1,"male",31
"695",1,3,"male",4
"696",0,3,"male",26
"697",1,1,"female",47
"698",0,1,"male",33
"699",0,3,"male",47
"700",1,2,"female",28
"701",1,3,"female",15
"702",0,3,"male",20
"703",0,3,"male",19
"704",1,1,"female",56
"705",1,2,"female",25
"706",0,3,"male",33
"707",0,3,"female",22
"708",0,2,"male",28
"709",0,3,"male",25
"710",0,3,"female",39
"711",0,2,"male",27
"712",1,1,"female",19
"713",1,1,"male",26
"714",0,3,"male",32
