"","Species","Part","Length","Width"
"179","versicolor","Sepal",6,2.9
"180","versicolor","Sepal",5.7,2.6
"181","versicolor","Sepal",5.5,2.4
"182","versicolor","Sepal",5.5,2.4
"183","versicolor","Sepal",5.8,2.7
"184","versicolor","Sepal",6,2.7
"185","versicolor","Sepal",5.4,3
"186","versicolor","Sepal",6,3.4
"187","versicolor","Sepal",6.7,3.1
"188","versicolor","Sepal",6.3,2.3
"189","versicolor","Sepal",5.6,3
"190","versicolor","Sepal",5.5,2.5
"191","versicolor","Sepal",5.5,2.6
"192","versicolor","Sepal",6.1,3
"193","versicolor","Sepal",5.8,2.6
"194","versicolor","Sepal",5,2.3
"195","versicolor","Sepal",5.6,2.7
"196","versicolor","Sepal",5.7,3
"197","versicolor","Sepal",5.7,2.9
"198","versicolor","Sepal",6.2,2.9
"199","versicolor","Sepal",5.1,2.5
"200","versicolor","Sepal",5.7,2.8
"201","virginica","Petal",6,2.5
"202","virginica","Petal",5.1,1.9
"203","virginica","Petal",5.9,2.1
"204","virginica","Petal",5.6,1.8
"205","virginica","Petal",5.8,2.2
"206","virginica","Petal",6.6,2.1
"207","virginica","Petal",4.5,1.7
"208","virginica","Petal",6.3,1.8
"209","virginica","Petal",5.8,1.8
"210","virginica","Petal",6.1,2.5
"211","virginica","Petal",5.1,2
"212","virginica","Petal",5.3,1.9
"213","virginica","Petal",5.5,2.1
"214","virginica","Petal",5,2
"215","virginica","Petal",5.1,2.4
"216","virginica","Petal",5.3,2.3
"217","virginica","Petal",5.5,1.8
"218","virginica","Petal",6.7,2.2
"219","virginica","Petal",6.9,2.3
"220","virginica","Petal",5,1.5
"221","virginica","Petal",5.7,2.3
"222","virginica","Petal",4.9,2
"223","virginica","Petal",6.7,2
"224","virginica","Petal",4.9,1.8
"225","virginica","Petal",5.7,2.1
"226","virginica","Petal",6,1.8
"227","virginica","Petal",4.8,1.8
"228","virginica","Petal",4.9,1.8
"229","virginica","Petal",5.6,2.1
"230","virginica","Petal",5.8,1.6
"231","virginica","Petal",6.1,1.9
"232","virginica","Petal",6.4,2
"233","virginica","Petal",5.6,2.2
"234","virginica","Petal",5.1,1.5
"235","virginica","Petal",5.6,1.4
"236","virginica","Petal",6.1,2.3
"237","virginica","Petal",5.6,2.4
"238","virginica","Petal",5.5,1.8
"239","virginica","Petal",4.8,1.8
"240","virginica","Petal",5.4,2.1
"241","virginica","Petal",5.6,2.4
"242","virginica","Petal",5.1,2.3
"243","virginica","Petal",5.1,1.9
"244","virginica","Petal",5.9,2.3
"245","virginica","Petal",5.7,2.5
"246","virginica","Petal",5.2,2.3
"247","virginica","Petal",5,1.9
"248","virginica","Petal",5.2,2
"249","virginica","Petal",5.4,2.3
"250","virginica","Petal",5.1,1.8
"251","virginica","Sepal",6.3,3.3
"252","virginica","Sepal",5.8,2.7
"253","virginica","Sepal",7.1,3
"254","virginica","Sepal",6.3,2.9
"255","virginica","Sepal",6.5,3
"256","virginica","Sepal",7.6,3
"257","virginica","Sepal",4.9,2.5
"258","virginica","Sepal",7.3,2.9
"259","virginica","Sepal",6.7,2.5
"260","virginica","Sepal",7.2,3.6
"261","virginica","Sepal",6.5,3.2
"262","virginica","Sepal",6.4,2.7
"263","virginica","Sepal",6.8,3
"264","virginica","Sepal",5.7,2.5
"265","virginica","Sepal",5.8,2.8
"266","virginica","Sepal",6.4,3.2
"267","virginica","Sepal",6.5,3
"268","virginica","Sepal",7.7,3.8
"269","virginica","Sepal",7.7,2.6
"270","virginica","Sepal",6,2.2
"271","virginica","Sepal",6.9,3.2
"272","virginica","Sepal",5.6,2.8
"273","virginica","Sepal",7.7,2.8
"274","virginica","Sepal",6.3,2.7
"275","virginica","Sepal",6.7,3.3
"276","virginica","Sepal",7.2,3.2
"277","virginica","Sepal",6.2,2.8
"278","virginica","Sepal",6.1,3
"279","virginica","Sepal",6.4,2.8
"280","virginica","Sepal",7.2,3
"281","virginica","Sepal",7.4,2.8
"282","virginica","Sepal",7.9,3.8
"283","virginica","Sepal",6.4,2.8
"284","virginica","Sepal",6.3,2.8
"285","virginica","Sepal",6.1,2.6
"286","virginica","Sepal",7.7,3
"287","virginica","Sepal",6.3,3.4
"288","virginica","Sepal",6.4,3.1
"289","virginica","Sepal",6,3
"290","virginica","Sepal",6.9,3.1
"291","virginica","Sepal",6.7,3.1
"292","virginica","Sepal",6.9,3.1
"293","virginica","Sepal",5.8,2.7
"294","virginica","Sepal",6.8,3.2
"295","virginica","Sepal",6.7,3.3
"296","virginica","Sepal",6.7,3
"297","virginica","Sepal",6.3,2.5
"298","virginica","Sepal",6.5,3
"299","virginica","Sepal",6.2,3.4
"300","virginica","Sepal",5.9,3
