"","age","net","gun","sex","year","previous","nruns","start_position","orig.id"
"37",29,76.15,76.47,"F",2002,1,3,"eager",5018
"38",24,91.53,96.98,"F",2004,1,3,"mellow",1877
"39",45,75.07,76.43,"M",2004,0,5,"calm",4639
"40",34,80.9,82.45,"M",2002,2,8,"calm",1049
"41",56,94.18,97.8,"M",2001,2,7,"mellow",4484
"42",51,97.57,103.6,"M",2004,1,5,"mellow",3896
"43",41,86.73,89.53,"F",2001,1,8,"calm",8944
"44",38,92.77,93.63,"F",2002,1,3,"eager",11838
"45",33,99.67,104.5,"F",2003,0,3,"mellow",5960
"46",29,85.38,89.73,"M",2005,2,4,"mellow",15648
"47",34,65.97,66.25,"M",2004,2,5,"eager",11552
"48",31,77.38,78.62,"M",2001,2,5,"calm",250
"49",35,94.42,99.47,"M",2005,2,3,"mellow",9584
"50",43,78.92,79.15,"M",2003,1,5,"eager",15110
"51",29,87.03,91.13,"F",2004,2,3,"mellow",9106
"52",30,97.78,105.4,"F",2004,1,4,"mellow",10824
"53",30,86.82,89.85,"M",2003,0,4,"mellow",7706
"54",33,113.1,117.8,"M",2002,1,3,"mellow",5653
"55",33,88.58,89.45,"M",2005,1,3,"eager",4018
"56",46,74.05,74.93,"M",2002,0,3,"eager",8028
"57",45,88.52,89.2,"M",2000,1,4,"eager",7468
"58",51,83.73,87.32,"M",2001,0,3,"mellow",14766
"59",32,81.4,87.9,"M",2005,3,5,"mellow",2945
"60",44,69,69.13,"F",2006,1,4,"eager",10805
"61",37,78.43,79.97,"M",2004,1,4,"calm",2439
"62",46,101.2,111,"F",2006,1,4,"mellow",13616
"63",28,81.2,84.5,"M",2000,1,5,"mellow",3151
"64",31,84.45,85.55,"F",2004,3,6,"calm",10493
"65",51,105.1,110.5,"M",2002,2,5,"mellow",13595
"66",40,70.38,74.15,"M",2002,1,3,"mellow",3308
"67",44,83.28,83.58,"M",2004,5,10,"eager",1038
"68",28,106.5,114.7,"F",2006,1,4,"mellow",9019
"69",48,79.12,79.62,"M",2004,5,9,"eager",3477
"70",28,69.83,70.42,"M",2002,0,5,"eager",11211
"71",44,73.35,73.85,"M",2005,6,7,"eager",12410
"72",58,66.07,66.3,"M",2000,1,3,"eager",7697
"73",27,86.23,92.37,"M",2005,1,4,"mellow",7709
"74",33,76.72,77.53,"M",2003,2,5,"eager",3699
"75",42,91.88,98.77,"M",2004,2,4,"mellow",16979
"76",45,79.12,79.65,"M",2003,1,4,"eager",9688
"77",36,81.63,85.17,"F",2005,3,6,"mellow",4891
"78",37,79.67,85.67,"M",2003,0,5,"mellow",6010
"79",26,86.62,92.68,"M",2005,0,4,"mellow",6582
"80",47,71.63,72.15,"M",2004,1,3,"eager",3983
"81",39,99.28,107.6,"F",2005,0,3,"mellow",920
"82",38,90.58,96.18,"F",2001,1,3,"mellow",8972
"83",36,101.2,103.4,"F",2000,1,9,"calm",9185
"84",66,95.8,99.55,"M",2000,1,6,"mellow",4265
"85",50,77.58,78.85,"M",2001,2,3,"calm",14708
"86",31,102.4,107,"F",2002,1,3,"mellow",7575
"87",34,79.67,81.42,"M",2005,1,3,"calm",3459
"88",26,111.2,114.4,"F",2004,1,4,"mellow",11727
"89",53,76.88,77.85,"M",2006,0,3,"eager",14696
"90",44,104.4,108.5,"F",2001,1,7,"mellow",4075
"91",45,117.4,121.7,"F",2005,3,4,"mellow",6604
"92",24,86.68,92.68,"M",2005,1,3,"mellow",13815
"93",33,94.78,96.87,"F",2003,0,5,"calm",260
"94",34,86.1,88.08,"M",2001,1,6,"calm",8606
"95",50,79.63,80.43,"M",2005,0,3,"eager",14643
"96",31,79.23,79.93,"F",2000,1,4,"eager",4323
"97",54,94.97,99.3,"M",2002,0,3,"mellow",13826
"98",38,85.67,90.47,"M",2004,3,4,"mellow",3487
"99",31,97.07,102.3,"F",2004,1,3,"mellow",10602
"100",40,83.15,84.75,"M",2006,4,6,"calm",4029
