"","age","net","gun","sex","year","nruns","runs_again"
"50",47,74.45,74.6,"M",2003,6,TRUE
"51",53,109.6,115.2,"M",2004,6,TRUE
"52",54,126.8,133,"M",2002,4,TRUE
"53",46,NA,97.07,"M",2007,3,FALSE
"54",55,88.7,97.63,"M",2005,4,TRUE
"55",51,94.95,99.57,"M",2006,5,TRUE
"56",51,64.77,64.9,"M",2004,6,TRUE
"57",33,NA,84.5,"M",2007,4,TRUE
"58",66,76.88,76.98,"M",2002,8,TRUE
"59",52,84.15,85.18,"M",2004,4,TRUE
"60",44,88.2,91.83,"M",2001,3,FALSE
"61",41,87.38,89.2,"M",2003,6,TRUE
"62",35,68.67,70.02,"M",2006,5,TRUE
"63",52,93.75,95.67,"M",2003,6,TRUE
"64",35,106.4,111.5,"M",2006,4,TRUE
"65",56,NA,94.7,"M",2007,4,TRUE
"66",46,84.63,84.9,"M",2006,5,TRUE
"67",67,129,132,"M",2001,6,TRUE
"68",38,73.55,74.08,"M",2004,5,TRUE
"69",47,74.2,75.23,"M",2005,3,FALSE
"70",32,67.82,68.1,"M",2002,5,TRUE
"71",34,NA,86.07,"F",2008,3,FALSE
"72",25,63.43,64.55,"M",2006,3,FALSE
"73",49,81.33,82.37,"M",2004,3,FALSE
"74",33,81.65,83.83,"M",2006,3,FALSE
"75",48,84.48,88.85,"M",2001,3,FALSE
"76",24,NA,60.07,"M",2008,3,FALSE
"77",24,NA,84.45,"M",2008,3,FALSE
"78",33,84.1,87.72,"M",2005,4,TRUE
"79",25,82.13,83.42,"F",2005,5,TRUE
"80",44,93.4,95.95,"F",2002,3,FALSE
"81",33,82.32,89.02,"M",2003,5,TRUE
"82",61,83.63,86.02,"M",2002,6,TRUE
"83",31,77.38,78.62,"M",2001,5,TRUE
"84",31,79.4,81.07,"M",2005,3,FALSE
"85",40,92.07,94.02,"F",2005,3,FALSE
"86",30,NA,76.77,"F",2007,3,FALSE
"87",35,85.42,86.65,"F",2005,5,TRUE
"88",35,67.67,68.03,"M",2005,5,TRUE
"89",29,94.8,99.57,"F",2004,4,TRUE
"90",49,90.18,92.95,"M",2003,5,TRUE
"91",29,NA,110.2,"F",2007,3,FALSE
"92",33,96.72,103.1,"F",2003,4,TRUE
"93",55,75.15,75.27,"F",2004,7,TRUE
"94",55,112.4,116.5,"F",2004,3,FALSE
"95",26,NA,80.98,"F",2007,4,TRUE
"96",44,114.5,114.6,"F",2002,5,TRUE
"97",32,85.65,88.55,"F",2003,5,TRUE
"98",36,105.1,111.1,"F",2004,4,TRUE
"99",30,NA,104.8,"F",2008,3,FALSE
"100",37,NA,85.52,"F",2008,3,FALSE
"101",36,NA,76.55,"F",2008,3,FALSE
"102",27,92.87,97.6,"F",2001,4,TRUE
"103",37,NA,87.98,"F",2007,3,FALSE
"104",23,80.48,87.08,"F",2006,4,TRUE
"105",31,NA,89.63,"F",2007,3,FALSE
"106",38,89.78,92.4,"F",2005,3,FALSE
"107",27,99.23,105.8,"F",2005,3,FALSE
"108",26,75.7,76.92,"F",2006,3,FALSE
"109",28,NA,104.5,"F",2008,3,FALSE
"110",27,NA,112,"F",2008,3,FALSE
"111",40,88.32,89.12,"F",2003,7,TRUE
"112",61,NA,103.7,"M",2007,3,FALSE
"113",47,78.07,79.48,"M",2003,7,TRUE
"114",45,75.1,78.62,"M",2002,6,TRUE
"115",35,82.95,84.2,"M",2006,5,TRUE
"116",50,85.45,88.3,"M",2004,4,TRUE
"117",38,68.02,68.43,"M",2004,4,TRUE
"118",36,79.78,82.23,"M",2003,3,FALSE
"119",34,73.2,75.28,"M",2001,6,TRUE
"120",35,57.63,57.7,"M",2002,6,TRUE
"121",55,89.37,91.75,"M",2003,4,TRUE
"122",28,NA,86.17,"F",2008,3,FALSE
"123",28,86.77,89.88,"F",2005,3,FALSE
"124",38,100,108.1,"F",2005,4,TRUE
"125",38,NA,92.78,"F",2008,3,FALSE
"126",29,87.67,90.73,"F",2005,3,FALSE
"127",33,79,82.37,"F",2002,3,FALSE
"128",30,109.7,111.3,"F",2002,3,FALSE
"129",39,NA,108.6,"F",2008,3,FALSE
"130",32,NA,65.28,"F",2007,3,FALSE
"131",45,NA,112.3,"F",2007,4,TRUE
"132",43,96.75,98.55,"F",2001,3,FALSE
"133",67,86.07,87.03,"M",2003,4,TRUE
"134",50,98.83,107,"M",2006,5,TRUE
"135",21,NA,56.95,"M",2007,3,FALSE
"136",27,95.43,97.8,"F",2003,6,TRUE
"137",32,99.63,105.1,"F",2003,7,TRUE
"138",27,NA,87.7,"F",2008,3,FALSE
"139",27,129.7,135.7,"F",2003,7,TRUE
"140",33,NA,100.4,"F",2008,3,FALSE
"141",29,71.68,72.53,"F",2004,3,FALSE
"142",26,NA,118,"F",2008,3,FALSE
"143",26,103.3,107.6,"F",2004,4,TRUE
"144",27,107.2,116.5,"F",2006,3,FALSE
"145",34,104.9,107,"F",2005,3,FALSE
"146",37,71.37,71.62,"F",2006,4,TRUE
"147",46,NA,68.72,"M",2008,3,FALSE
"148",37,75.2,75.62,"F",2004,3,FALSE
"149",30,73.45,73.93,"F",2006,5,TRUE
"150",37,96.18,99.45,"F",2006,3,FALSE
"151",34,NA,NA,"F",2007,4,TRUE
"152",32,NA,84.25,"F",2007,3,FALSE
"153",26,NA,90.83,"F",2007,3,FALSE
"154",32,NA,NA,"F",2007,4,TRUE
"155",45,NA,90.25,"F",2008,3,FALSE
"156",31,105.8,109.3,"F",2005,3,FALSE
"157",27,99.6,107.1,"F",2001,7,TRUE
"158",31,82.08,82.63,"F",2002,3,FALSE
"159",34,NA,91.28,"F",2008,3,FALSE
"160",30,83.12,85.05,"F",2003,3,FALSE
"161",32,NA,97.83,"F",2008,3,FALSE
"162",27,83.68,86.8,"F",2005,5,TRUE
"163",30,96.43,102,"F",2003,3,FALSE
"164",31,91.07,96.85,"F",2006,3,FALSE
"165",50,120.5,125.4,"F",2004,3,FALSE
"166",31,NA,83.72,"F",2008,3,FALSE
"167",29,80.2,80.62,"F",2001,7,TRUE
"168",30,130,138.5,"F",2006,3,FALSE
"169",44,89.48,90.67,"F",2002,5,TRUE
"170",35,104.2,112.1,"F",2005,5,TRUE
"171",28,75.13,76.33,"F",2001,7,TRUE
"172",31,88.38,96.52,"F",2005,5,TRUE
"173",42,101.9,105.3,"F",2005,3,FALSE
"174",32,106.6,113.4,"F",2004,3,FALSE
"175",49,88.8,93.28,"F",2002,5,TRUE
"176",29,NA,101.4,"F",2007,3,FALSE
"177",32,NA,81.17,"F",2007,3,FALSE
"178",46,77.05,78.95,"F",2002,6,TRUE
"179",35,105.5,109.4,"F",2001,3,FALSE
"180",28,114.4,120,"F",2002,5,TRUE
"181",37,114,117.6,"F",2004,4,TRUE
"182",36,NA,76.3,"F",2008,3,FALSE
"183",30,92.48,94.7,"F",2005,3,FALSE
"184",43,NA,80.43,"F",2008,3,FALSE
"185",36,85.7,87.05,"F",2003,4,TRUE
"186",27,71.15,71.45,"M",2005,3,FALSE
"187",33,74.8,75.42,"M",2002,5,TRUE
"188",54,91.42,92.32,"F",2002,3,FALSE
"189",25,97.88,104.2,"F",2006,5,TRUE
"190",31,NA,96.77,"F",2007,3,FALSE
"191",51,NA,99.35,"F",2007,3,FALSE
"192",51,NA,90.62,"F",2007,4,TRUE
"193",40,NA,105.3,"F",2008,3,FALSE
"194",47,NA,103.3,"F",2008,3,FALSE
"195",34,93.77,99.65,"F",2003,4,TRUE
"196",32,92.97,99.38,"F",2006,3,FALSE
"197",29,105.4,113.4,"F",2005,3,FALSE
"198",25,82.85,88.52,"F",2005,3,FALSE
"199",30,108.2,110.1,"F",2005,3,FALSE
"200",41,100.8,102.8,"F",2006,3,FALSE
"201",40,78.75,80.58,"M",2004,4,TRUE
"202",39,92.82,95.67,"M",2001,9,TRUE
"203",33,71.08,72.23,"M",2001,3,FALSE
"204",39,76.22,76.67,"M",2003,3,FALSE
"205",32,88.37,93.53,"M",2005,5,TRUE
"206",45,91.4,94.92,"M",2004,4,TRUE
"207",42,71.68,72.65,"M",2001,5,TRUE
"208",15,74.95,75.48,"M",2001,4,TRUE
"209",45,90.73,93.58,"M",2004,5,TRUE
"210",43,83.58,84,"M",2003,4,TRUE
"211",41,69.05,69.05,"M",2005,3,FALSE
"212",24,74.12,74.63,"M",2006,4,TRUE
"213",30,69,69.38,"M",2005,3,FALSE
"214",45,86.07,91.7,"M",2006,3,FALSE
"215",44,69.15,69.52,"M",2001,5,TRUE
"216",34,NA,94.38,"M",2007,4,TRUE
"217",47,74.38,74.6,"M",2005,4,TRUE
"218",38,83.65,93.52,"M",2001,6,TRUE
"219",41,88.32,90.17,"M",2006,3,FALSE
"220",35,87.37,89.48,"M",2004,5,TRUE
"221",39,88.62,92.35,"M",2002,5,TRUE
"222",26,68.9,73.43,"M",2006,4,TRUE
"223",35,NA,60.43,"M",2007,3,FALSE
"224",32,98.62,105.2,"M",2004,3,FALSE
"225",36,61.78,61.9,"M",2001,5,TRUE
"226",27,NA,74.7,"M",2008,3,FALSE
"227",41,97.87,107.7,"M",2006,5,TRUE
"228",34,93.45,99.08,"M",2004,3,FALSE
"229",39,55.93,55.98,"M",2003,8,TRUE
"230",31,NA,73.68,"M",2007,3,FALSE
"231",38,NA,90.22,"M",2008,3,FALSE
"232",29,NA,87.15,"M",2008,3,FALSE
"233",54,88.12,94.8,"M",2003,7,TRUE
"234",43,NA,93.47,"M",2007,3,FALSE
"235",27,88.75,95.05,"M",2005,3,FALSE
"236",27,78.22,79.7,"M",2005,5,TRUE
"237",28,74.32,76.6,"M",2006,3,FALSE
"238",28,NA,86.97,"M",2008,3,FALSE
"239",46,82.6,84.57,"M",2002,8,TRUE
"240",39,NA,79.63,"M",2008,3,FALSE
"241",33,100.7,101.4,"M",2005,3,FALSE
"242",43,NA,90.82,"M",2008,3,FALSE
"243",31,77.98,78.95,"M",2001,3,FALSE
"244",42,145.8,153.8,"M",2005,5,TRUE
"245",41,73,73.38,"M",2001,6,TRUE
"246",42,108.3,114.1,"F",2001,3,FALSE
"247",29,NA,95.07,"F",2007,4,TRUE
"248",29,106.1,113.3,"F",2004,3,FALSE
"249",31,99.27,101.7,"F",2001,9,TRUE
"250",60,119.3,123.1,"F",2004,5,TRUE
"251",35,125.6,130.9,"F",2003,3,FALSE
"252",35,75.78,79.17,"F",2006,5,TRUE
"253",35,111.5,119.1,"F",2006,3,FALSE
"254",37,113.9,117.6,"F",2004,4,TRUE
"255",26,110.7,116.8,"F",2005,3,FALSE
"256",26,NA,93.85,"F",2008,3,FALSE
"257",27,91.62,94.78,"F",2006,4,TRUE
"258",39,88.9,89.57,"F",2002,4,TRUE
"259",35,NA,99.15,"F",2007,4,TRUE
"260",34,NA,73.43,"M",2008,3,FALSE
"261",38,NA,83.73,"M",2007,3,FALSE
"262",49,NA,107,"M",2008,3,FALSE
"263",33,103.3,106,"F",2001,7,TRUE
"264",37,83.4,89.12,"F",2004,3,FALSE
"265",34,101.2,103.7,"F",2003,3,FALSE
"266",31,86.93,92.05,"F",2005,3,FALSE
"267",47,NA,86.2,"F",2007,3,FALSE
"268",33,NA,108.7,"F",2008,3,FALSE
"269",39,NA,97.25,"F",2008,3,FALSE
"270",42,NA,119.4,"F",2007,3,FALSE
"271",35,95.87,104,"F",2006,4,TRUE
"272",41,96.88,101.6,"F",2003,3,FALSE
"273",42,96.62,99.75,"F",2003,3,FALSE
"274",41,NA,115.1,"F",2007,3,FALSE
"275",30,86.07,91.9,"F",2005,3,FALSE
"276",35,110.1,115.9,"F",2005,4,TRUE
"277",31,62.65,62.73,"F",2005,4,TRUE
"278",49,120.3,125.6,"F",2005,4,TRUE
"279",38,73.63,74.42,"F",2002,9,TRUE
"280",48,93.35,97.78,"F",2001,8,TRUE
"281",50,99.25,103,"F",2003,3,FALSE
"282",30,95.87,99.43,"F",2004,3,FALSE
"283",67,100.2,100.4,"F",2004,3,FALSE
"284",39,88.7,92.3,"F",2003,3,FALSE
"285",25,NA,98.97,"F",2008,3,FALSE
"286",27,NA,87.05,"F",2007,3,FALSE
"287",25,NA,85.52,"F",2007,3,FALSE
"288",30,86.48,87.85,"F",2003,3,FALSE
"289",29,NA,113.2,"F",2008,3,FALSE
"290",25,NA,97.72,"F",2008,3,FALSE
"291",27,NA,80.75,"F",2008,3,FALSE
"292",32,104,106.4,"F",2001,4,TRUE
"293",28,NA,79.73,"F",2007,3,FALSE
"294",47,87.18,90.95,"F",2001,3,FALSE
"295",31,NA,109.2,"F",2008,3,FALSE
"296",55,87.85,91.37,"F",2005,6,TRUE
"297",48,96.73,100.4,"F",2002,3,FALSE
"298",28,114.6,119.3,"F",2004,4,TRUE
"299",36,NA,90.55,"F",2007,4,TRUE
"300",43,84.68,90.92,"F",2005,3,FALSE
"301",52,108.1,115.8,"F",2004,3,FALSE
"302",38,99.12,103.5,"F",2003,4,TRUE
"303",33,86.98,91.18,"F",2005,3,FALSE
"304",26,99.07,101.2,"F",2001,3,FALSE
"305",39,NA,106.7,"F",2007,4,TRUE
"306",34,91.47,94.5,"F",2001,7,TRUE
"307",26,NA,113,"F",2007,4,TRUE
"308",32,98.53,101.1,"F",2002,4,TRUE
"309",43,103.3,105.8,"F",2005,3,FALSE
"310",37,81.57,87.32,"F",2001,4,TRUE
"311",49,105.1,110.2,"F",2002,4,TRUE
"312",41,78.97,80.6,"F",2004,4,TRUE
"313",53,NA,105.9,"F",2007,3,FALSE
"314",42,NA,89.72,"F",2008,3,FALSE
"315",45,NA,97,"F",2008,3,FALSE
"316",33,90.47,93.83,"F",2004,6,TRUE
"317",32,NA,83.77,"F",2008,3,FALSE
"318",63,NA,112.5,"F",2008,3,FALSE
"319",26,71.02,71.15,"F",2006,3,FALSE
"320",42,56.17,56.18,"M",2001,3,FALSE
"321",29,56.53,56.6,"M",2002,3,FALSE
"322",44,102.2,103.2,"M",2004,4,TRUE
"323",55,NA,72.38,"M",2008,3,FALSE
"324",25,55.15,55.18,"M",2004,5,TRUE
"325",43,82.53,83.47,"M",2001,9,TRUE
"326",41,88.8,92.13,"M",2002,4,TRUE
"327",31,104.1,106.9,"M",2005,3,FALSE
"328",49,82.72,84.45,"M",2001,3,FALSE
"329",42,88.05,96.18,"M",2005,4,TRUE
"330",50,75.87,78.1,"M",2003,5,TRUE
"331",42,80.4,80.95,"M",2003,4,TRUE
"332",44,NA,104.1,"M",2008,3,FALSE
"333",36,133.4,140.7,"M",2004,3,FALSE
"334",38,92.08,96.37,"M",2002,5,TRUE
"335",63,72.07,72.17,"M",2002,4,TRUE
"336",44,NA,87.22,"M",2008,3,FALSE
"337",55,NA,77.67,"M",2007,4,TRUE
"338",48,94.38,95.82,"M",2001,5,TRUE
"339",17,NA,91.63,"M",2008,3,FALSE
"340",49,NA,76.4,"M",2008,3,FALSE
"341",48,82.63,82.95,"M",2001,5,TRUE
"342",35,NA,87.57,"M",2008,3,FALSE
"343",36,79.75,80.93,"M",2003,3,FALSE
"344",37,NA,86.82,"M",2008,3,FALSE
"345",32,91.43,99.68,"M",2006,4,TRUE
"346",46,63.55,63.65,"M",2001,5,TRUE
"347",63,69.85,70.05,"M",2001,7,TRUE
"348",61,95.38,96.45,"M",2002,6,TRUE
"349",37,75.47,76.05,"M",2001,4,TRUE
"350",59,81.9,82.28,"M",2002,5,TRUE
"351",39,79.18,79.98,"M",2003,4,TRUE
"352",41,85.72,85.72,"M",2001,10,TRUE
"353",52,70.82,71.52,"M",2001,5,TRUE
"354",47,NA,107.6,"M",2007,3,FALSE
"355",34,80.9,82.45,"M",2002,8,TRUE
"356",37,NA,98.63,"M",2008,3,FALSE
"357",34,76.43,81.93,"M",2006,3,FALSE
"358",28,85.23,87.12,"F",2001,6,TRUE
"359",29,NA,88.85,"F",2008,3,FALSE
"360",29,93.67,98.95,"F",2006,4,TRUE
"361",32,86.25,87.57,"F",2002,3,FALSE
"362",27,114.4,118.8,"F",2005,3,FALSE
"363",32,NA,83.87,"F",2008,3,FALSE
"364",24,82.53,83.7,"F",2003,4,TRUE
"365",31,97.17,103.3,"M",2004,3,FALSE
"366",47,81.12,81.68,"M",2002,8,TRUE
"367",36,NA,80.48,"M",2007,3,FALSE
"368",28,NA,85.97,"F",2007,3,FALSE
"369",63,80.7,80.83,"M",2002,5,TRUE
"370",17,87.8,91.57,"M",2006,3,FALSE
"371",30,NA,101,"F",2007,4,TRUE
"372",65,NA,104.9,"F",2008,3,FALSE
"373",43,93.18,94.83,"F",2002,3,FALSE
"374",50,85.62,86.88,"F",2001,3,FALSE
"375",44,NA,95.72,"F",2007,4,TRUE
"376",53,79.85,80.17,"F",2001,3,FALSE
"377",44,92.8,99.8,"F",2005,4,TRUE
"378",36,73.88,79.42,"F",2001,7,TRUE
"379",61,106.4,109.7,"F",2003,3,FALSE
"380",44,NA,93.93,"F",2008,3,FALSE
"381",43,97.77,99.72,"F",2004,4,TRUE
"382",60,89.87,90.4,"F",2001,5,TRUE
"383",42,84.65,86.72,"F",2001,3,FALSE
"384",39,75.62,76.85,"F",2002,4,TRUE
"385",36,83.37,85.67,"F",2004,4,TRUE
"386",27,NA,111.2,"F",2008,3,FALSE
"387",32,NA,99.43,"M",2008,3,FALSE
"388",39,65.47,65.6,"M",2003,3,FALSE
"389",49,79.13,79.52,"M",2002,3,FALSE
"390",55,78.18,78.88,"M",2003,8,TRUE
"391",37,106.4,113.5,"M",2002,7,TRUE
"392",51,97.63,103,"M",2001,7,TRUE
"393",54,76.93,79.15,"M",2004,4,TRUE
"394",45,79.75,80.97,"M",2006,3,FALSE
"395",49,97.65,103.4,"M",2005,3,FALSE
"396",38,85.93,94.4,"M",2005,5,TRUE
"397",48,91.72,92.38,"M",2006,3,FALSE
"398",53,92.42,99.33,"M",2006,4,TRUE
"399",28,NA,73.07,"M",2008,3,FALSE
"400",45,76.15,76.15,"M",2005,3,FALSE
"401",34,78.92,81.12,"M",2004,6,TRUE
"402",51,100.3,106.4,"F",2003,5,TRUE
"403",27,NA,96.58,"F",2007,3,FALSE
"404",25,72.55,73.18,"F",2003,4,TRUE
"405",47,79.3,83.63,"F",2006,3,FALSE
"406",35,67.18,67.27,"F",2001,8,TRUE
"407",57,66.2,66.3,"M",2001,3,FALSE
"408",44,NA,65.03,"M",2007,4,TRUE
"409",66,79.13,79.13,"M",2005,3,FALSE
"410",39,74.87,88.68,"M",2001,4,TRUE
"411",32,NA,66.87,"M",2008,3,FALSE
"412",30,NA,58.88,"M",2007,3,FALSE
"413",24,75.7,76.63,"M",2004,5,TRUE
"414",48,68.93,69.35,"M",2005,4,TRUE
"415",58,83.13,84.38,"M",2004,4,TRUE
"416",26,65.6,65.72,"M",2003,3,FALSE
"417",52,67.3,67.47,"M",2002,9,TRUE
"418",26,106.4,106.4,"F",2004,5,TRUE
"419",45,89.2,94.88,"M",2001,10,TRUE
"420",35,70.5,71.95,"M",2003,3,FALSE
"421",51,89.93,92.85,"M",2003,3,FALSE
"422",58,97.92,99.98,"M",2005,3,FALSE
"423",44,85.22,88.77,"M",2002,4,TRUE
"424",40,NA,85.95,"F",2007,4,TRUE
"425",48,108.7,115,"F",2004,3,FALSE
"426",25,101.1,105,"F",2001,3,FALSE
"427",39,NA,76.25,"F",2008,3,FALSE
"428",52,92.22,95.7,"F",2003,5,TRUE
"429",50,102.6,107.6,"F",2003,3,FALSE
"430",51,92.3,93.23,"F",2003,5,TRUE
"431",41,65.57,65.82,"F",2001,4,TRUE
"432",33,67.45,67.65,"F",2003,6,TRUE
"433",42,107.2,110.7,"F",2003,3,FALSE
"434",41,79.97,80.43,"F",2006,5,TRUE
"435",43,101.7,104,"F",2005,4,TRUE
"436",37,115.6,118.7,"F",2005,3,FALSE
"437",43,76.03,76.35,"F",2003,4,TRUE
"438",32,NA,113.3,"F",2008,3,FALSE
"439",54,94.48,99.92,"F",2005,4,TRUE
"440",33,96.35,98.52,"F",2003,3,FALSE
"441",38,88.17,90.13,"F",2003,4,TRUE
"442",48,68.2,68.27,"F",2001,10,TRUE
"443",58,79.12,79.63,"F",2003,3,FALSE
"444",64,98.67,98.67,"F",2005,6,TRUE
"445",46,NA,75.6,"F",2007,3,FALSE
"446",33,100.3,102.4,"F",2005,4,TRUE
"447",53,112.3,117.9,"F",2005,3,FALSE
"448",29,NA,95.17,"F",2008,3,FALSE
"449",48,94.15,99.42,"F",2005,4,TRUE
"450",27,109.1,114.9,"F",2005,3,FALSE
"451",36,NA,108,"M",2007,4,TRUE
"452",53,86.08,89.27,"M",2003,6,TRUE
"453",38,69.35,69.85,"M",2003,5,TRUE
"454",46,69.15,69.57,"M",2003,3,FALSE
"455",40,81.32,82.82,"M",2006,3,FALSE
"456",53,102.3,109.2,"M",2004,4,TRUE
"457",70,114.9,122.8,"M",2004,4,TRUE
"458",50,95.63,98.73,"M",2002,3,FALSE
"459",38,67.32,67.5,"M",2004,4,TRUE
"460",41,94.4,103,"M",2006,4,TRUE
"461",35,NA,77.4,"M",2007,3,FALSE
"462",47,75.87,81.32,"M",2005,3,FALSE
"463",46,73.45,74.48,"M",2004,3,FALSE
"464",55,97.85,100.4,"M",2003,5,TRUE
"465",51,76.65,76.9,"M",2002,3,FALSE
"466",59,84.98,85.37,"M",2002,7,TRUE
"467",28,85.68,90.17,"M",2006,5,TRUE
"468",34,NA,94.18,"M",2007,3,FALSE
"469",77,117.9,118.9,"M",2004,3,FALSE
"470",26,74.25,76.33,"M",2006,4,TRUE
"471",47,99.38,102.9,"M",2003,4,TRUE
"472",45,63.95,64.12,"M",2001,4,TRUE
"473",58,86.45,86.93,"M",2001,5,TRUE
"474",52,NA,59.05,"M",2007,3,FALSE
"475",60,92.02,98.23,"M",2006,3,FALSE
"476",53,74,74.05,"M",2001,9,TRUE
"477",47,73.18,75.57,"M",2006,4,TRUE
"478",61,85.8,86.07,"M",2001,10,TRUE
"479",41,108.7,118,"M",2006,3,FALSE
"480",60,NA,97.47,"M",2008,3,FALSE
"481",52,79.18,80.47,"M",2001,8,TRUE
"482",32,NA,81.02,"M",2007,3,FALSE
"483",36,93.32,98.6,"M",2005,3,FALSE
"484",34,NA,82.78,"M",2008,3,FALSE
"485",29,NA,88.42,"M",2008,3,FALSE
"486",37,86.92,88.83,"M",2001,3,FALSE
"487",30,NA,84.65,"M",2007,4,TRUE
"488",37,NA,86.48,"M",2007,3,FALSE
"489",43,87.67,89.95,"M",2006,4,TRUE
"490",45,NA,102.5,"F",2007,3,FALSE
"491",61,NA,119.4,"M",2008,3,FALSE
"492",40,NA,94.68,"M",2007,3,FALSE
"493",40,82.35,85.15,"F",2002,9,TRUE
"494",57,81.03,81.6,"M",2001,4,TRUE
"495",61,91.28,97.85,"M",2002,7,TRUE
"496",39,127.8,133.4,"M",2003,3,FALSE
"497",41,66.78,66.83,"M",2003,3,FALSE
"498",49,106.4,112.8,"M",2002,8,TRUE
"499",49,62,62.05,"M",2002,6,TRUE
"500",54,98.68,102.6,"M",2002,4,TRUE
"501",46,82.82,87.62,"M",2003,3,FALSE
"502",44,92.83,99.02,"M",2006,3,FALSE
"503",55,86.93,88.15,"M",2002,4,TRUE
"504",67,NA,83.65,"M",2008,3,FALSE
"505",49,70.12,70.32,"M",2001,3,FALSE
"506",46,149.2,149.2,"M",2005,4,TRUE
"507",63,78.08,78.5,"M",2005,4,TRUE
"508",53,89.72,90.63,"M",2003,7,TRUE
"509",31,59.93,59.97,"M",2003,4,TRUE
"510",41,66.68,67.13,"M",2003,3,FALSE
"511",38,112.6,117,"M",2001,3,FALSE
"512",64,82.9,84.42,"M",2004,3,FALSE
"513",49,101.8,108.6,"M",2005,6,TRUE
"514",29,60.6,60.8,"M",2003,5,TRUE
"515",27,94.17,101.2,"M",2004,3,FALSE
"516",44,119.3,119.3,"F",2003,3,FALSE
"517",27,103.3,110.7,"F",2004,5,TRUE
"518",30,94.75,97.12,"F",2003,3,FALSE
"519",27,NA,71.53,"M",2008,3,FALSE
"520",35,91.67,97.75,"M",2004,4,TRUE
"521",36,86.5,89.88,"M",2001,4,TRUE
"522",39,100.8,102,"M",2003,3,FALSE
"523",40,80.88,81.77,"M",2004,5,TRUE
"524",44,NA,94.45,"M",2008,3,FALSE
"525",33,105.6,109.1,"M",2002,4,TRUE
"526",33,NA,91.07,"M",2007,3,FALSE
"527",34,NA,100.8,"M",2008,3,FALSE
"528",46,101,105.8,"M",2005,3,FALSE
"529",45,85.88,89.57,"M",2002,8,TRUE
"530",32,NA,83.4,"M",2008,3,FALSE
"531",47,81.72,82.9,"M",2002,3,FALSE
"532",32,NA,101.7,"M",2008,3,FALSE
"533",33,68.23,69.02,"M",2003,5,TRUE
"534",33,NA,88.57,"M",2008,3,FALSE
"535",31,NA,59,"M",2007,3,FALSE
"536",28,NA,75.92,"M",2007,3,FALSE
"537",34,NA,121.5,"M",2008,3,FALSE
"538",39,87.38,89.82,"M",2005,5,TRUE
"539",32,69.47,70.18,"M",2005,4,TRUE
"540",40,69.4,69.9,"M",2004,4,TRUE
"541",27,94.2,97.87,"F",2001,4,TRUE
"542",27,98.45,103.8,"F",2006,5,TRUE
"543",43,79.37,80.73,"F",2005,5,TRUE
"544",29,106.7,106.7,"F",2001,4,TRUE
"545",29,NA,99.6,"F",2007,4,TRUE
