"","yr_month","HIGH","LOW","MED"
"203","2008_OCT",318409.039605197,312446.648707867,314828
"204","2008_SEP",329571.779958341,320905.911469735,327779
"205","2009_APR",302960.910444386,291511.057211325,293419
"206","2009_AUG",310797.762138065,307885.898114875,309581
"207","2009_DEC",315139.385863043,299698.571277153,308501
"208","2009_FEB",300978.281427912,289760.790939715,297933
"209","2009_JAN",299832.531118356,289935.076707099,298565
"210","2009_JUL",312384.452783898,297439.804178592,302901
"211","2009_JUN",309965.405192137,292611.778928343,301671
"212","2009_MAR",295115.397061378,285733.821223181,292857
"213","2009_MAY",303567.651342545,292704.482118078,297060
"214","2009_NOV",311809.623033796,303813.680365738,307190
"215","2009_OCT",307543.039605197,301580.648707867,303962
"216","2009_SEP",302991.779958341,294325.911469735,301199
"217","2010_APR",327656.910444386,316207.057211325,318115
"218","2010_AUG",318717.762138065,315805.898114875,317501
"219","2010_DEC",336612.385863043,321171.571277153,329974
"220","2010_FEB",311852.281427912,300634.790939715,308807
"221","2010_JAN",310407.531118356,300510.076707099,309140
"222","2010_JUL",325199.452783898,310254.804178592,315716
"223","2010_JUN",323673.405192137,306319.778928343,315379
"224","2010_MAR",318500.397061378,309118.821223181,316242
"225","2010_MAY",322492.651342545,311629.482118078,315985
"226","2010_NOV",331890.623033796,323894.680365738,327271
"227","2010_OCT",328522.039605197,322559.648707867,324941
"228","2010_SEP",322138.779958341,313472.911469735,320346
"229","2011_APR",349532.910444386,338083.057211325,339991
"230","2011_AUG",343309.762138065,340397.898114875,342093
"231","2011_DEC",356352.385863043,340911.571277153,349714
"232","2011_FEB",337724.281427912,326506.790939715,334679
"233","2011_JAN",334019.531118356,324122.076707099,332752
"234","2011_JUL",352037.452783898,337092.804178592,342554
"235","2011_JUN",350153.405192137,332799.778928343,341859
"236","2011_MAR",340465.397061378,331083.821223181,338207
"237","2011_MAY",346171.651342545,335308.482118078,339664
"238","2011_NOV",354342.623033796,346346.680365738,349723
"239","2011_OCT",352212.039605197,346249.648707867,348631
"240","2011_SEP",347124.779958341,338458.911469735,345332
"241","2012_APR",366082.910444386,354633.057211325,356541
"242","2012_AUG",359695.762138065,356783.898114875,358479
"243","2012_DEC",372307.385863043,356866.571277153,365669
"244","2012_FEB",360323.281427912,349105.790939715,357278
"245","2012_JAN",353865.531118356,343968.076707099,352598
"246","2012_JUL",363775.452783898,348830.804178592,354292
"247","2012_JUN",360691.405192137,343337.778928343,352397
"248","2012_MAR",361447.397061378,352065.821223181,359189
"249","2012_MAY",362763.651342545,351900.482118078,356256
"250","2012_NOV",368012.623033796,360016.680365738,363393
"251","2012_OCT",365595.039605197,359632.648707867,362014
"252","2012_SEP",364678.779958341,356012.911469735,362886
"253","2013_APR",378155.910444386,366706.057211325,368614
"254","2013_AUG",373984.762138065,371072.898114875,372768
"255","2013_DEC",384063.385863043,368622.571277153,377425
"256","2013_FEB",375618.281427912,364400.790939715,372573
"257","2013_JAN",368943.531118356,359046.076707099,367676
"258","2013_JUL",383763.452783898,368818.804178592,374280
"259","2013_JUN",381188.405192137,363834.778928343,372894
"260","2013_MAR",371833.397061378,362451.821223181,369575
"261","2013_MAY",377178.651342545,366315.482118078,370671
"262","2013_NOV",379310.623033796,371314.680365738,374691
"263","2013_OCT",377777.039605197,371814.648707867,374196
"264","2013_SEP",375402.779958341,366736.911469735,373610
"265","2014_APR",395396.910444386,383947.057211325,385855
"266","2014_AUG",391140.762138065,388228.898114875,389924
"267","2014_DEC",393826.385863043,378385.571277153,387188
"268","2014_FEB",380711.281427912,369493.790939715,377666
"269","2014_JAN",374303.531118356,364406.076707099,373036
"270","2014_JUL",397024.452783898,382079.804178592,387541
"271","2014_JUN",396520.405192137,379166.778928343,388226
"272","2014_MAR",384614.397061378,375232.821223181,382356
"273","2014_MAY",392079.651342545,381216.482118078,385572
"274","2014_NOV",397045.623033796,389049.680365738,392426
"275","2014_OCT",393764.039605197,387801.648707867,390183
"276","2014_SEP",390270.779958341,381604.911469735,388478
"277","2015_APR",396776.910444386,385327.057211325,387235
"278","2015_AUG",396160.762138065,393248.898114875,394944
"279","2015_DEC",NA,NA,NA
"280","2015_FEB",384477.281427912,373259.790939715,381432
"281","2015_JAN",385156.531118356,375259.076707099,383889
"282","2015_JUL",404583.452783898,389638.804178592,395100
"283","2015_JUN",400249.405192137,382895.778928343,391955
"284","2015_MAR",389923.397061378,380541.821223181,387665
"285","2015_MAY",398775.651342545,387912.482118078,392268
"286","2015_NOV",399779.623033796,391783.680365738,395160
"287","2015_OCT",398143.039605197,392180.648707867,394562
"288","2015_SEP",396221.779958341,387555.911469735,394429
